name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.47635783, 106.7929633",2019-12-29,30,23.8,27.1,35.7,23.8,29.9,24.5,86.4,5.7,100,8.33,rain,0,0,,14.8,196.7,1010.7,52.3,5.8,231.2,20.1,8,,2019-12-29T05:39:44,2019-12-29T18:09:24,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2019-12-30,32.5,24.1,28.5,39.9,24.1,32.8,24.6,79.7,13.87,100,4.17,rain,0,0,,13.9,218.4,1010.9,47.6,5.9,245.5,21.1,9,,2019-12-30T05:40:15,2019-12-30T18:09:51,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2019-12-31,30.7,23.9,27.3,37.7,23.9,30.6,24.7,85.8,21.7,100,20.83,rain,0,0,29.5,22.3,233.7,1011.1,56.5,5.6,154.7,13.5,6,,2019-12-31T05:40:46,2019-12-31T18:10:18,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-01,29,24.2,26.1,38.2,24.2,28,24.5,91.1,122.72,100,29.17,rain,0,0,,27.7,280.3,1012.4,64,4.6,112,9.5,4,,2020-01-01T05:41:17,2020-01-01T18:10:44,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-02,31,23.6,26.8,36.2,23.6,29,23.8,84.1,18.32,100,25,rain,0,0,,14.4,273.2,1012.8,60.7,5.6,186.9,16,7,,2020-01-02T05:41:48,2020-01-02T18:11:09,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-03,30.7,24.3,27.4,37,24.3,30.6,24.2,82.6,3.63,100,16.67,rain,0,0,,14.8,277.6,1010.9,57.3,6.4,167.4,14.5,6,,2020-01-03T05:42:19,2020-01-03T18:11:34,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-04,30.7,24.9,27.4,37,24.9,30.3,24.2,82.8,1.8,100,16.67,rain,0,0,,19.4,286.5,1009.2,56.7,6.1,202,17.7,7,,2020-01-04T05:42:50,2020-01-04T18:11:58,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-05,29,24.6,26.4,34.3,24.6,28,24.2,87.9,12.04,100,25,rain,0,0,,14.4,275.6,1009.5,65.4,5.6,159.5,13.7,5,,2020-01-05T05:43:21,2020-01-05T18:12:22,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-06,29.5,23.7,26.5,35.4,23.7,28.3,24.4,88.5,15.29,100,25,rain,0,0,,18.1,262.7,1009.7,57.5,4.8,212.9,18.2,7,,2020-01-06T05:43:51,2020-01-06T18:12:45,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.47635783, 106.7929633",2020-01-07,30.7,24,26.8,37,24,29.4,24.2,85.9,8.62,100,25,rain,0,0,,20.3,266.7,1009.1,58.2,5.5,195.5,16.8,7,,2020-01-07T05:44:21,2020-01-07T18:13:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
