name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.73644760730718,106.865816385405",2019-12-29,30.0,19.4,25.7,35.8,19.4,28.3,23.5,88.2,0.51,100,8.33,rain,0,0,,14.8,211.6,1010.0,56.3,6.2,231.2,20.1,8,,2019-12-29T05:38:59,2019-12-29T18:09:34,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2019-12-30,32.3,20.0,27.2,39.6,20.0,30.9,23.6,81.8,46.83,100,4.17,rain,0,0,,14.2,216.9,1010.4,51.3,6.2,245.5,21.1,9,,2019-12-30T05:39:30,2019-12-30T18:10:01,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2019-12-31,30.7,19.8,25.8,37.7,19.8,28.6,23.6,88.4,47.53,100,20.83,rain,0,0,29.5,22.3,247.5,1010.5,62.6,5.4,154.7,13.5,6,,2019-12-31T05:40:01,2019-12-31T18:10:27,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-01,29.0,19.6,24.6,38.2,19.6,26.5,23.3,92.7,131.4,100,29.17,rain,0,0,,27.7,283.6,1011.8,56.1,4.2,112.0,9.5,4,,2020-01-01T05:40:33,2020-01-01T18:10:53,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-02,31.0,19.9,25.2,36.2,19.9,27.0,22.7,87.1,10.69,100,25.0,rain,0,0,,14.8,273.1,1012.2,64.9,5.6,186.9,16.0,7,,2020-01-02T05:41:04,2020-01-02T18:11:19,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-03,30.7,19.9,25.8,36.8,19.9,28.2,23.1,85.3,1.05,100,12.5,rain,0,0,,14.8,276.8,1010.4,61.5,6.5,167.4,14.5,6,,2020-01-03T05:41:35,2020-01-03T18:11:43,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-04,30.7,20.3,25.7,36.8,20.3,28.0,23.0,85.3,5.27,100,16.67,rain,0,0,,19.7,288.8,1008.8,56.6,5.8,202.0,17.7,7,,2020-01-04T05:42:06,2020-01-04T18:12:08,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-05,29.0,20.2,24.9,34.2,20.2,26.2,23.0,89.4,2.05,100,25.0,rain,0,0,,14.8,276.2,1008.9,68.9,5.7,159.5,13.7,5,,2020-01-05T05:42:36,2020-01-05T18:12:31,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-06,29.7,20.3,25.0,35.7,20.3,26.5,23.3,90.3,24.14,100,25.0,rain,0,0,,18.5,260.5,1009.1,55.3,4.6,212.9,18.2,7,,2020-01-06T05:43:07,2020-01-06T18:12:54,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.73644760730718,106.865816385405",2020-01-07,30.7,20.1,25.3,36.8,20.1,27.4,23.2,88.5,6.88,100,25.0,rain,0,0,,19.7,266.2,1008.7,59.7,5.1,195.5,16.8,7,,2020-01-07T05:43:38,2020-01-07T18:13:16,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
