name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.52741846394688,107.137144526768",2019-12-29,30.0,22.2,26.6,35.6,22.2,29.1,24.1,86.7,4.21,100,8.33,rain,0,0,,14.8,204.6,1010.8,54.9,5.9,231.2,20.1,8,,2019-12-29T05:38:16,2019-12-29T18:08:07,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2019-12-30,32.5,22.5,28.0,39.9,22.5,31.9,24.1,80.4,22.89,100,4.17,rain,0,0,,13.9,217.2,1011.2,50.1,6.0,245.5,21.1,9,,2019-12-30T05:38:47,2019-12-30T18:08:34,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2019-12-31,30.8,22.3,26.7,37.7,22.3,29.6,24.2,86.7,29.98,100,20.83,rain,0,0,29.5,22.3,233.1,1011.4,60.1,5.5,154.7,13.5,6,,2019-12-31T05:39:18,2019-12-31T18:09:01,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-01,29.0,22.3,25.4,38.2,22.3,27.3,23.9,91.4,118.25,100,29.17,rain,0,0,,27.7,280.2,1012.6,62.9,4.5,112.0,9.5,4,,2020-01-01T05:39:49,2020-01-01T18:09:26,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-02,31.0,22.2,26.2,36.3,22.2,27.9,23.3,85.0,14.68,100,25.0,rain,0,0,,14.3,271.3,1013.0,63.8,5.6,186.9,16.0,7,,2020-01-02T05:40:20,2020-01-02T18:09:52,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-03,30.8,22.7,26.8,37.1,22.7,29.2,23.7,83.3,2.61,100,16.67,rain,0,0,,14.8,280.1,1011.2,60.3,6.5,167.4,14.5,6,,2020-01-03T05:40:51,2020-01-03T18:10:17,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-04,30.8,23.2,26.8,37.1,23.2,29.1,23.7,83.4,2.76,100,16.67,rain,0,0,,19.3,286.5,1009.5,58.0,6.0,202.0,17.7,7,,2020-01-04T05:41:22,2020-01-04T18:10:41,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-05,29.0,23.0,25.9,34.3,23.0,27.3,23.7,88.3,10.06,100,25.0,rain,0,0,,14.3,278.7,1009.7,68.0,5.6,159.5,13.7,5,,2020-01-05T05:41:53,2020-01-05T18:11:05,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-06,29.5,22.5,25.9,35.4,22.5,27.4,23.9,88.9,16.63,100,25.0,rain,0,0,,18.0,259.7,1009.9,58.4,4.8,212.9,18.2,7,,2020-01-06T05:42:23,2020-01-06T18:11:28,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-07,30.8,22.6,26.2,37.1,22.6,28.4,23.7,86.5,7.65,100,25.0,rain,0,0,,20.5,266.3,1009.4,60.2,5.4,195.5,16.8,7,,2020-01-07T05:42:54,2020-01-07T18:11:50,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-08,29.8,22.8,26.3,34.7,22.8,28.3,23.4,83.9,6.06,100,16.67,rain,0,0,,24.1,255.0,1008.8,60.6,5.2,239.0,20.6,8,,2020-01-08T05:43:24,2020-01-08T18:12:11,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-09,29.0,23.0,25.8,34.3,23.0,27.4,23.7,88.5,45.81,100,33.33,rain,0,0,40.7,25.9,271.6,1008.6,65.6,4.7,214.0,18.7,8,,2020-01-09T05:43:54,2020-01-09T18:12:32,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-10,27.8,21.6,24.5,31.9,21.6,25.0,22.9,90.6,16.0,100,33.33,rain,0,0,,27.7,279.5,1009.5,72.8,5.3,235.4,20.4,8,,2020-01-10T05:44:23,2020-01-10T18:12:52,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-11,31.0,21.5,25.7,35.5,21.5,27.1,22.6,83.9,2.04,100,16.67,rain,0,0,,31.7,268.3,1009.6,65.6,6.3,199.7,17.2,8,,2020-01-11T05:44:53,2020-01-11T18:13:12,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-12,32.0,22.4,27.1,37.9,22.4,29.4,22.6,76.9,0.0,0,0.0,,0,0,42.5,18.4,277.1,1008.8,52.0,7.7,314.5,27.3,10,,2020-01-12T05:45:21,2020-01-12T18:13:30,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-13,30.8,22.6,26.6,38.4,22.6,28.8,23.3,82.3,2.91,100,20.83,rain,0,0,,19.6,273.7,1008.4,62.3,6.5,309.7,26.5,10,,2020-01-13T05:45:50,2020-01-13T18:13:48,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.52741846394688,107.137144526768",2020-01-14,31.8,22.4,27.2,37.1,22.4,29.5,23.2,79.8,1.1,100,12.5,rain,0,0,,25.0,285.9,1009.5,55.3,7.2,222.3,19.0,7,,2020-01-14T05:46:18,2020-01-14T18:14:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96781099999,96749099999,96751099999,96749599999,96745099999"
"-6.52741846394688,107.137144526768",2020-01-15,30.8,22.6,26.5,36.8,22.6,28.3,23.4,84.0,18.67,100,20.83,rain,0,0,,17.5,274.6,1010.4,59.8,5.8,132.0,11.4,5,,2020-01-15T05:46:46,2020-01-15T18:14:21,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
