name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.57395298821429,106.69845241306",2019-12-29,30.0,23.2,26.9,35.9,23.2,29.7,24.4,86.9,4.45,100,8.33,rain,0,0,,14.8,228.1,1010.6,54.3,6.1,231.2,20.1,8,,2019-12-29T05:39:57,2019-12-29T18:09:57,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2019-12-30,32.2,23.5,28.3,39.5,23.5,32.5,24.5,80.3,17.88,100,4.17,rain,0,0,,14.4,216.3,1010.8,49.3,6.1,245.5,21.1,9,,2019-12-30T05:40:28,2019-12-30T18:10:24,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2019-12-31,30.6,23.4,27.1,37.6,23.4,30.2,24.5,86.2,23.89,100,20.83,rain,0,0,29.5,22.3,246.9,1011.1,59.2,5.8,154.7,13.5,6,,2019-12-31T05:40:59,2019-12-31T18:10:51,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-01,29.0,23.5,26.0,38.2,23.5,27.9,24.3,90.8,123.73,100,29.17,rain,0,0,,27.7,283.1,1012.4,64.3,4.7,112.0,9.5,4,,2020-01-01T05:41:30,2020-01-01T18:11:17,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-02,31.0,23.2,26.6,36.1,23.2,28.6,23.5,84.2,15.73,100,25.0,rain,0,0,,15.1,272.3,1012.7,62.4,5.9,186.9,16.0,7,,2020-01-02T05:42:01,2020-01-02T18:11:42,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-03,30.6,23.8,27.1,36.7,23.8,29.8,24.0,83.1,3.27,100,16.67,rain,0,0,,14.8,278.2,1010.9,58.6,6.7,167.4,14.5,6,,2020-01-03T05:42:32,2020-01-03T18:12:07,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-04,30.6,24.0,27.2,36.7,24.0,29.7,23.9,82.6,2.18,100,16.67,rain,0,0,,19.9,287.3,1009.2,59.2,6.3,202.0,17.7,7,,2020-01-04T05:43:03,2020-01-04T18:12:31,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-05,29.0,24.0,26.2,34.2,24.0,27.5,24.0,87.9,9.34,100,25.0,rain,0,0,27.7,15.1,277.4,1009.4,67.7,5.8,159.5,13.7,5,,2020-01-05T05:43:33,2020-01-05T18:12:55,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-06,29.8,23.4,26.3,35.8,23.4,27.9,24.2,88.4,16.48,100,25.0,rain,0,0,,18.8,255.8,1009.7,58.6,4.9,212.9,18.2,7,,2020-01-06T05:44:04,2020-01-06T18:13:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-07,30.6,23.5,26.6,36.7,23.5,28.7,24.0,86.0,8.31,100,25.0,rain,0,0,,19.4,263.5,1009.1,59.5,5.6,195.5,16.8,7,,2020-01-07T05:44:34,2020-01-07T18:13:40,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-08,29.6,23.6,26.7,34.5,23.6,28.8,23.6,83.6,5.78,100,12.5,rain,0,0,,24.1,256.2,1008.5,59.1,5.3,239.0,20.6,8,,2020-01-08T05:45:04,2020-01-08T18:14:01,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-09,29.0,24.1,26.3,34.2,24.1,27.9,23.9,87.2,36.46,100,33.33,rain,0,0,40.7,25.9,271.6,1008.3,66.1,5.1,214.0,18.7,8,,2020-01-09T05:45:34,2020-01-09T18:14:22,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57395298821429,106.69845241306",2020-01-10,27.6,22.4,24.8,31.4,22.4,25.2,23.1,90.6,18.99,100,33.33,rain,0,0,,27.7,279.6,1009.3,73.6,5.3,235.4,20.4,8,,2020-01-10T05:46:04,2020-01-10T18:14:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
