name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.484378367, 106.8355114",2019-12-29,30,23.6,27,35.6,23.6,29.8,24.4,86.5,5.43,100,8.33,rain,0,0,,14.8,197,1010.6,52.1,5.7,231.2,20.1,8,,2019-12-29T05:39:33,2019-12-29T18:09:15,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2019-12-30,32.5,23.7,28.4,40,23.7,32.7,24.5,79.7,17.41,100,4.17,rain,0,0,,13.9,218.5,1010.8,47.6,5.9,245.5,21.1,9,,2019-12-30T05:40:04,2019-12-30T18:09:42,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2019-12-31,30.8,23.7,27.2,37.7,23.7,30.4,24.6,86,24.95,100,20.83,rain,0,0,29.5,22.3,234.1,1011.1,56.4,5.5,154.7,13.5,6,,2019-12-31T05:40:35,2019-12-31T18:10:08,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-01,29,23.9,26,38.2,23.9,27.9,24.4,91.3,124.18,100,29.17,rain,0,0,,27.7,279.9,1012.3,62.9,4.5,112,9.5,4,,2020-01-01T05:41:06,2020-01-01T18:10:34,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-02,31,23.4,26.7,36.3,23.4,28.9,23.7,84.3,18.03,100,25,rain,0,0,,14.2,273.6,1012.7,60.7,5.6,186.9,16,7,,2020-01-02T05:41:37,2020-01-02T18:11:00,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-03,30.8,23.9,27.3,37.1,23.9,30.4,24.1,82.8,3.36,100,16.67,rain,0,0,,14.8,277.5,1010.8,57.4,6.3,167.4,14.5,6,,2020-01-03T05:42:08,2020-01-03T18:11:25,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-04,30.8,24.7,27.3,37.1,24.7,29.9,24.1,83.1,2.2,100,16.67,rain,0,0,,19.3,286.3,1009.2,56.1,6,202,17.7,7,,2020-01-04T05:42:39,2020-01-04T18:11:49,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-05,29,24.2,26.3,34.3,24.2,27.9,24.2,88.1,11.77,100,25,rain,0,0,,14.2,275.5,1009.4,65.1,5.5,159.5,13.7,5,,2020-01-05T05:43:10,2020-01-05T18:12:13,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-06,29.5,23.5,26.4,35.3,23.5,28.1,24.3,88.7,16.18,100,25,rain,0,0,,17.9,263.1,1009.6,57,4.8,212.9,18.2,7,,2020-01-06T05:43:40,2020-01-06T18:12:36,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.484378367, 106.8355114",2020-01-07,30.8,23.7,26.7,37.1,23.7,29.1,24.1,86.1,8.51,100,25,rain,0,0,,20.6,267,1009,58,5.4,195.5,16.8,7,,2020-01-07T05:44:10,2020-01-07T18:12:58,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
