name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.57616403218792, 106.661417054061",2019-12-29,30,23.4,27,36,23.4,29.8,24.5,86.9,4.61,100,8.33,rain,0,0,,14.8,227.6,1010.7,54.2,6.2,231.2,20.1,8,,2019-12-29T05:40:05,2019-12-29T18:10:06,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2019-12-30,32.2,23.7,28.4,39.4,23.7,32.6,24.5,80.2,15.25,100,4.17,rain,0,0,,14.5,216.2,1010.9,49.2,6.2,245.5,21.1,9,,2019-12-30T05:40:36,2019-12-30T18:10:33,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2019-12-31,30.6,23.7,27.2,37.6,23.7,30.3,24.5,86,21.46,100,20.83,rain,0,0,29.5,22.3,246.5,1011.1,59.2,5.8,154.7,13.5,6,,2019-12-31T05:41:07,2019-12-31T18:11:00,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-01,29,23.8,26.2,38.2,23.8,28,24.5,90.6,122.41,100,29.17,rain,0,0,,27.7,283.5,1012.4,65.1,4.7,112,9.5,4,,2020-01-01T05:41:38,2020-01-01T18:11:26,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-02,31,23.4,26.7,36.1,23.4,28.7,23.6,84,15.73,100,25,rain,0,0,,15.2,272.2,1012.8,62.2,5.9,186.9,16,7,,2020-01-02T05:42:09,2020-01-02T18:11:51,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-03,30.6,24.1,27.2,36.6,24.1,30,24,82.9,3.45,100,16.67,rain,0,0,,14.8,278.3,1010.9,58.4,6.8,167.4,14.5,6,,2020-01-03T05:42:40,2020-01-03T18:12:16,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-04,30.6,24.2,27.3,36.6,24.2,30,24,82.4,1.88,100,16.67,rain,0,0,,20,287.3,1009.3,59.6,6.3,202,17.7,7,,2020-01-04T05:43:11,2020-01-04T18:12:40,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-05,29,24.3,26.3,34.1,24.3,27.6,24.1,87.8,9.46,100,25,rain,0,0,27.7,15.2,277.4,1009.5,67.8,5.8,159.5,13.7,5,,2020-01-05T05:43:42,2020-01-05T18:13:04,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-06,29.8,23.6,26.4,35.9,23.6,28,24.3,88.2,15.84,100,25,rain,0,0,,19,255.9,1009.7,58.9,5,212.9,18.2,7,,2020-01-06T05:44:13,2020-01-06T18:13:27,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-07,30.6,23.8,26.7,36.6,23.8,29.1,24.1,85.8,8.4,100,25,rain,0,0,,19.2,263.6,1009.2,59.6,5.7,195.5,16.8,7,,2020-01-07T05:44:43,2020-01-07T18:13:49,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-08,29.6,23.8,26.8,34.5,23.8,28.9,23.7,83.4,5.47,100,12.5,rain,0,0,,24.1,256.4,1008.6,59,5.4,239,20.6,8,,2020-01-08T05:45:13,2020-01-08T18:14:10,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-09,29,24.3,26.4,34.1,24.3,28.1,24,87,33.68,100,33.33,rain,0,0,40.7,25.9,271.9,1008.4,66.7,5.1,214,18.7,8,,2020-01-09T05:45:43,2020-01-09T18:14:31,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-10,27.6,22.6,24.9,31.3,22.6,25.3,23.2,90.5,19.87,100,33.33,rain,0,0,,27.7,279.7,1009.4,73.9,5.3,235.4,20.4,8,,2020-01-10T05:46:13,2020-01-10T18:14:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-11,31,22.6,26.2,35.1,22.6,27.8,23,83.7,2.34,100,16.67,rain,0,0,,31.7,273.3,1009.6,64.2,6.4,199.7,17.2,8,,2020-01-11T05:46:42,2020-01-11T18:15:10,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-12,32,23.5,27.5,37.9,23.5,29.9,23,77.3,0,0,0,,0,0,42.5,18.4,274.8,1008.6,52.2,7.9,314.5,27.3,10,,2020-01-12T05:47:11,2020-01-12T18:15:29,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57616403218792, 106.661417054061",2020-01-13,30.6,23.8,26.9,37.9,23.8,29.1,23.7,82.9,5.2,100,20.83,rain,0,0,,18.9,275.7,1008.4,64.4,6.6,309.7,26.5,10,,2020-01-13T05:47:39,2020-01-13T18:15:47,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
