name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.74544039, 106.8101491",2019-12-29,30,20.2,26,35.9,20.2,28.5,23.7,87.9,1.32,100,8.33,rain,0,0,,14.8,211.4,1010.1,55.7,6.1,231.2,20.1,8,,2019-12-29T05:39:12,2019-12-29T18:09:48,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2019-12-30,32.3,20.7,27.4,39.6,20.7,31.1,23.8,81.4,41.61,100,4.17,rain,0,0,,14.3,217.1,1010.5,50.8,6.2,245.5,21.1,9,,2019-12-30T05:39:43,2019-12-30T18:10:15,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2019-12-31,30.6,20.6,26,37.7,20.6,28.9,23.8,87.9,43.41,100,20.83,rain,0,0,29.5,22.3,247.3,1010.6,61.8,5.5,154.7,13.5,6,,2019-12-31T05:40:14,2019-12-31T18:10:42,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-01,29,20.5,24.9,38.2,20.5,26.8,23.5,92.3,130.69,100,29.17,rain,0,0,,27.7,283.5,1011.9,57.8,4.3,112,9.5,4,,2020-01-01T05:40:45,2020-01-01T18:11:08,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-02,31,20.6,25.5,36.1,20.6,27.2,22.9,86.5,11.75,100,25,rain,0,0,,14.9,273,1012.3,64.2,5.7,186.9,16,7,,2020-01-02T05:41:16,2020-01-02T18:11:33,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-03,30.6,20.6,26.1,36.8,20.6,28.5,23.2,84.8,1.49,100,16.67,rain,0,0,,14.8,277.1,1010.5,60.8,6.5,167.4,14.5,6,,2020-01-03T05:41:47,2020-01-03T18:11:58,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-04,30.6,21.1,26,36.8,21.1,28.3,23.2,84.8,4.72,100,16.67,rain,0,0,,19.8,288.7,1008.8,56.9,5.9,202,17.7,7,,2020-01-04T05:42:18,2020-01-04T18:12:22,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-05,29,21,25.2,34.2,21,26.5,23.2,89,3.66,100,25,rain,0,0,,14.9,276.3,1009,68.6,5.7,159.5,13.7,5,,2020-01-05T05:42:49,2020-01-05T18:12:45,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-06,29.7,20.9,25.3,35.8,20.9,26.8,23.4,89.9,22.73,100,25,rain,0,0,,18.6,260.6,1009.2,55.9,4.7,212.9,18.2,7,,2020-01-06T05:43:20,2020-01-06T18:13:08,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-07,30.6,20.9,25.6,36.8,20.9,27.7,23.3,87.9,7.17,100,25,rain,0,0,,19.6,266,1008.7,59.6,5.2,195.5,16.8,7,,2020-01-07T05:43:50,2020-01-07T18:13:30,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-08,29.6,21.2,25.6,34.6,21.2,27.6,23,85.7,9.56,100,12.5,rain,0,0,,24.1,255.5,1008.2,59.6,4.9,239,20.6,8,,2020-01-08T05:44:20,2020-01-08T18:13:52,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-09,29,21,25.1,34.2,21,26.8,23.2,89.4,54.03,100,33.33,rain,0,0,40.7,25.9,268.7,1007.9,61.9,4.5,214,18.7,8,,2020-01-09T05:44:50,2020-01-09T18:14:12,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-10,27.6,20.1,24,31.5,20.1,24.4,22.4,91,6.68,100,33.33,rain,0,0,,27.7,280.2,1008.6,74.2,5.4,235.4,20.4,8,,2020-01-10T05:45:20,2020-01-10T18:14:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-11,31,19.8,25.2,35.2,19.8,26.5,22.1,84.1,0.74,100,16.67,rain,0,0,,31.7,274.3,1008.9,65.4,6.3,199.7,17.2,8,,2020-01-11T05:45:50,2020-01-11T18:14:51,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-12,32,20.6,26.4,37.9,20.6,28.5,22.2,77.9,0,0,0,,0,0,42.5,18.4,262.3,1008.1,54.3,7.8,314.5,27.3,10,,2020-01-12T05:46:19,2020-01-12T18:15:10,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-13,30.6,20.4,25.9,38,20.4,27.9,22.8,83.7,2.76,100,20.83,rain,0,0,,19.1,274.2,1007.8,65.2,6.5,309.7,26.5,10,,2020-01-13T05:46:47,2020-01-13T18:15:27,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.74544039, 106.8101491",2020-01-14,31.6,20.3,26.5,36.9,20.3,28.6,22.9,81.1,1.07,100,12.5,rain,0,0,,23.7,256.1,1008.8,57.4,7.4,222.3,19,7,,2020-01-14T05:47:16,2020-01-14T18:15:44,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.74544039, 106.8101491",2020-01-15,30.6,21,25.8,36.3,21,27.5,23,85.4,13.63,100,20.83,rain,0,0,,17.1,248.2,1009.6,59.9,5.8,132,11.4,5,,2020-01-15T05:47:44,2020-01-15T18:16:00,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
