name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.49323498786752,106.546888698131",2019-12-29,30.0,24.1,27.3,36.3,24.1,30.4,24.8,86.9,4.57,100,8.33,rain,0,0,,14.8,224.9,1011.0,54.3,6.2,200.5,17.2,7,,2019-12-29T05:40:41,2019-12-29T18:10:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2019-12-30,31.9,24.4,28.7,39.2,24.4,33.2,24.8,80.2,5.47,100,4.17,rain,0,0,,16.3,214.2,1011.1,49.2,6.2,266.4,23.1,9,,2019-12-30T05:41:12,2019-12-30T18:10:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2019-12-31,30.5,24.5,27.5,37.6,24.5,30.9,24.8,85.6,11.65,100,20.83,rain,0,0,29.5,22.3,245.6,1011.4,59.4,6.0,187.9,16.2,7,,2019-12-31T05:41:44,2019-12-31T18:11:19,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-01,29.0,24.8,26.6,38.2,24.8,28.6,24.8,90.0,111.7,100,29.17,rain,0,0,,27.7,285.4,1012.8,68.3,4.9,105.3,9.0,4,,2020-01-01T05:42:15,2020-01-01T18:11:45,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-02,31.0,24.1,27.1,36.0,24.1,29.4,23.8,83.3,14.35,100,25.0,rain,0,0,,16.2,272.0,1013.1,61.6,6.1,187.2,16.1,7,,2020-01-02T05:42:46,2020-01-02T18:12:10,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-03,30.5,25.1,27.6,36.4,25.1,30.7,24.3,82.5,3.88,100,16.67,rain,0,0,,14.9,278.8,1011.2,58.0,7.0,170.4,14.7,6,,2020-01-03T05:43:16,2020-01-03T18:12:35,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-04,30.5,24.9,27.7,36.3,24.9,30.8,24.2,81.6,0.76,100,16.67,rain,0,0,,20.5,287.2,1009.5,61.6,6.7,167.3,14.2,6,,2020-01-04T05:43:47,2020-01-04T18:12:59,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-05,29.0,25.0,26.6,34.0,25.0,28.2,24.4,87.5,8.15,100,25.0,rain,0,0,27.7,15.8,277.5,1009.8,68.4,6.0,171.9,14.9,6,,2020-01-05T05:44:18,2020-01-05T18:13:23,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-06,30.1,24.4,26.8,36.3,24.4,28.8,24.5,87.8,13.74,100,25.0,rain,0,0,,19.9,255.6,1009.9,60.4,5.1,212.5,18.3,7,,2020-01-06T05:44:48,2020-01-06T18:13:46,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-07,30.5,24.5,27.0,36.3,24.5,29.6,24.2,85.1,8.55,100,25.0,rain,0,0,,18.4,264.2,1009.4,60.1,6.0,158.8,13.7,6,,2020-01-07T05:45:19,2020-01-07T18:14:08,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-08,29.5,24.6,27.1,34.3,24.6,29.6,23.9,83.0,4.68,100,12.5,rain,0,0,,24.1,254.5,1008.8,58.7,5.6,238.9,20.7,9,,2020-01-08T05:45:49,2020-01-08T18:14:30,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-09,29.0,25.0,26.8,34.0,25.0,28.9,24.2,86.1,20.67,100,33.33,rain,0,0,40.7,25.9,273.4,1008.7,69.3,5.4,255.0,22.0,8,,2020-01-09T05:46:19,2020-01-09T18:14:50,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-10,27.5,23.3,25.1,31.0,23.3,25.5,23.4,90.2,21.23,100,33.33,rain,0,0,,27.7,279.2,1009.7,75.3,5.3,185.4,15.9,6,,2020-01-10T05:46:48,2020-01-10T18:15:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-11,31.0,23.4,26.5,34.8,23.4,28.3,23.3,83.4,2.24,100,16.67,rain,0,0,,31.7,274.0,1009.9,64.3,6.6,182.5,15.7,6,,2020-01-11T05:47:18,2020-01-11T18:15:30,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-12,32.0,24.3,27.8,37.9,24.3,30.5,23.3,77.3,0.0,0,0.0,,0,0,42.5,18.4,275.3,1008.9,52.3,8.0,311.7,26.9,10,,2020-01-12T05:47:46,2020-01-12T18:15:48,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-13,30.5,24.7,27.1,37.5,24.7,29.4,23.9,83.0,7.08,100,20.83,rain,0,0,,18.4,276.3,1008.7,65.3,6.8,309.8,26.8,10,,2020-01-13T05:48:15,2020-01-13T18:16:06,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-14,31.5,24.7,27.8,36.5,24.7,30.5,23.7,79.6,5.03,100,12.5,rain,0,0,,21.8,270.8,1009.6,52.7,7.5,211.7,18.4,7,,2020-01-14T05:48:43,2020-01-14T18:16:23,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.49323498786752,106.546888698131",2020-01-15,30.5,24.3,27.1,35.7,24.3,29.6,23.9,83.2,22.57,100,20.83,rain,0,0,,16.5,232.6,1010.4,60.0,6.2,208.7,18.1,7,,2020-01-15T05:49:11,2020-01-15T18:16:39,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-16,31.5,25.1,27.5,38.5,25.1,30.1,24.1,82.4,1.75,100,8.33,rain,0,0,,19.5,199.1,1011.0,52.0,5.3,230.3,19.7,7,,2020-01-16T05:49:38,2020-01-16T18:16:54,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-17,31.5,24.8,28.1,37.8,24.8,31.5,24.1,79.3,3.96,100,8.33,rain,0,0,,18.4,241.0,1010.9,53.7,5.8,306.1,26.4,10,,2020-01-17T05:50:05,2020-01-17T18:17:09,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-18,30.5,24.6,26.9,35.3,24.6,28.6,23.5,82.6,10.82,100,16.67,rain,0,0,,14.8,273.1,1011.1,58.6,5.5,281.5,24.2,9,,2020-01-18T05:50:31,2020-01-18T18:17:22,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-19,31.5,23.9,28.0,37.8,23.9,31.4,24.0,79.5,0.88,100,8.33,rain,0,0,,21.4,225.9,1011.1,44.9,5.8,269.2,23.2,9,,2020-01-19T05:50:57,2020-01-19T18:17:35,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-20,31.0,25.8,28.4,37.7,25.8,32.2,24.5,80.2,2.45,100,29.17,rain,0,0,,14.8,213.3,1011.5,56.5,6.3,234.6,20.5,8,,2020-01-20T05:51:22,2020-01-20T18:17:46,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-21,30.0,25.0,27.3,36.2,25.0,30.1,24.5,84.9,0.68,100,12.5,rain,0,0,31.7,16.6,181.5,1012.6,52.8,6.1,232.3,20.0,8,,2020-01-21T05:51:47,2020-01-21T18:17:57,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-22,31.0,25.4,27.9,38.4,25.4,31.6,24.6,82.6,3.03,100,16.67,rain,0,0,,12.1,187.0,1011.4,51.9,5.7,236.2,20.4,8,,2020-01-22T05:52:11,2020-01-22T18:18:07,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-23,32.0,25.1,28.2,37.9,25.1,32.2,24.8,82.3,23.27,100,20.83,rain,0,0,,18.4,231.0,1010.7,53.5,5.9,281.2,24.3,10,,2020-01-23T05:52:35,2020-01-23T18:18:16,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-24,27.0,25.0,26.0,30.6,25.0,26.4,24.6,92.0,149.99,100,25.0,rain,0,0,31.7,16.2,218.9,1010.9,65.7,4.5,224.1,19.4,8,,2020-01-24T05:52:58,2020-01-24T18:18:23,1.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-25,28.5,24.7,26.2,33.5,24.7,27.9,24.5,90.3,16.81,100,33.33,rain,0,0,,16.6,266.2,1011.0,71.9,5.4,173.0,14.8,6,,2020-01-25T05:53:20,2020-01-25T18:18:30,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-26,31.5,24.1,27.5,37.8,24.1,30.2,24.2,83.1,1.24,100,12.5,rain,0,0,,18.3,187.4,1009.7,51.9,6.3,240.3,20.7,8,,2020-01-26T05:53:42,2020-01-26T18:18:36,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-27,30.5,24.8,27.5,35.8,24.8,30.0,23.9,81.3,4.92,100,20.83,rain,0,0,,13.9,134.2,1010.0,57.8,6.8,218.1,18.8,8,,2020-01-27T05:54:03,2020-01-27T18:18:42,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-28,31.5,24.8,28.1,37.2,24.8,31.8,24.4,80.7,0.32,100,4.17,rain,0,0,,20.5,239.4,1010.2,47.3,6.3,176.9,15.1,6,,2020-01-28T05:54:23,2020-01-28T18:18:46,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-29,32.0,25.3,28.5,40.7,25.3,32.3,24.6,80.3,1.29,100,16.67,rain,0,0,,22.2,252.2,1010.8,49.8,6.5,231.7,19.9,8,,2020-01-29T05:54:43,2020-01-29T18:18:49,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-30,30.5,23.2,26.9,35.8,23.2,29.4,23.3,81.6,42.11,100,12.5,rain,0,0,,27.7,222.6,1010.8,57.3,6.9,139.3,12.1,6,,2020-01-30T05:55:02,2020-01-30T18:18:51,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-01-31,29.5,25.5,27.6,35.3,25.5,30.8,24.4,83.1,1.45,100,12.5,rain,0,0,,15.0,203.1,1010.5,56.9,5.8,241.0,20.8,8,,2020-01-31T05:55:21,2020-01-31T18:18:52,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.49323498786752,106.546888698131",2020-02-01,29.0,23.6,25.9,33.6,23.6,27.6,24.0,89.4,68.67,100,29.17,rain,0,0,,16.5,163.3,1011.0,66.1,5.2,136.7,11.8,5,,2020-02-01T05:55:38,2020-02-01T18:18:53,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
