name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.686561802, 106.7841175",2019-12-29,30,20.8,26.1,35.9,20.8,28.7,23.8,87.7,1.91,100,8.33,rain,0,0,,14.8,211.4,1010.2,55.3,6.1,231.2,20.1,8,,2019-12-29T05:39:24,2019-12-29T18:09:49,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2019-12-30,32.3,21.2,27.6,39.6,21.2,31.5,23.9,81.2,37.64,100,4.17,rain,0,0,,14.2,217.2,1010.5,50.3,6.1,245.5,21.1,9,,2019-12-30T05:39:55,2019-12-30T18:10:15,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2019-12-31,30.6,21.2,26.3,37.7,21.2,29.1,23.9,87.5,40.24,100,20.83,rain,0,0,29.5,22.3,247.4,1010.7,61.1,5.5,154.7,13.5,6,,2019-12-31T05:40:26,2019-12-31T18:10:42,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-01,29,21.1,25.1,38.2,21.1,27,23.7,92.1,129.84,100,29.17,rain,0,0,,27.7,283.1,1012,58.9,4.3,112,9.5,4,,2020-01-01T05:40:57,2020-01-01T18:11:08,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-02,31,21.2,25.7,36.1,21.2,27.5,23,86,12.53,100,25,rain,0,0,,14.9,272.9,1012.3,63.7,5.7,186.9,16,7,,2020-01-02T05:41:29,2020-01-02T18:11:33,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-03,30.6,21.2,26.3,36.8,21.2,28.7,23.4,84.4,1.8,100,16.67,rain,0,0,,14.8,277.2,1010.5,60.3,6.5,167.4,14.5,6,,2020-01-03T05:42:00,2020-01-03T18:11:58,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-04,30.6,21.8,26.3,36.8,21.8,28.5,23.3,84.4,4.3,100,16.67,rain,0,0,,19.8,288.3,1008.9,57.1,6,202,17.7,7,,2020-01-04T05:42:30,2020-01-04T18:12:22,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-05,29,21.6,25.4,34.2,21.6,26.7,23.4,88.8,4.8,100,25,rain,0,0,,14.9,276.1,1009,68.2,5.7,159.5,13.7,5,,2020-01-05T05:43:01,2020-01-05T18:12:46,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-06,29.7,21.4,25.5,35.7,21.4,27,23.6,89.6,21.65,100,25,rain,0,0,,18.6,260.7,1009.3,56.3,4.7,212.9,18.2,7,,2020-01-06T05:43:32,2020-01-06T18:13:08,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.686561802, 106.7841175",2020-01-07,30.6,21.4,25.8,36.8,21.4,27.9,23.5,87.6,7.38,100,25,rain,0,0,,19.6,266.1,1008.8,59.4,5.3,195.5,16.8,7,,2020-01-07T05:44:02,2020-01-07T18:13:31,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
