name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.409768126,106.9961497",2019-12-29,30,24.3,27.2,35.6,24.3,30.1,24.5,86,7.2,100,8.33,rain,0,0,,14.8,196.8,1010.6,50.1,5.5,231.2,20.1,8,,2019-12-29T05:39:02,2019-12-29T18:08:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2019-12-30,32.7,24.4,28.7,40.2,24.4,33,24.6,79.2,13.06,100,4.17,rain,0,0,,14.3,204,1010.8,46,5.7,245.5,21.1,9,,2019-12-30T05:39:33,2019-12-30T18:08:56,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2019-12-31,30.9,24.2,27.4,37.7,24.2,30.8,24.7,85.7,23.51,100,20.83,rain,0,0,29.5,22.3,236,1011,54,5.3,154.7,13.5,6,,2019-12-31T05:40:04,2019-12-31T18:09:22,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-01,29,24.3,26.1,38.2,24.3,28,24.6,91.4,123.59,100,29.17,rain,0,0,,27.7,278.5,1012.3,62.6,4.5,112,9.5,4,,2020-01-01T05:40:35,2020-01-01T18:09:48,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-02,31,23.8,27,36.4,23.8,29.1,23.9,84,20.44,100,25,rain,0,0,,13.7,274.8,1012.7,59.3,5.4,186.9,16,7,,2020-01-02T05:41:06,2020-01-02T18:10:14,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-03,30.9,24.5,27.6,37.4,24.5,30.9,24.3,82.4,3.77,100,16.67,rain,0,0,,14.8,277.8,1010.8,56.1,6.1,167.4,14.5,6,,2020-01-03T05:41:37,2020-01-03T18:10:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-04,30.9,25.4,27.5,37.4,25.4,30.6,24.4,83.1,1.82,100,16.67,rain,0,0,,18.9,285.6,1009.2,54.3,5.9,202,17.7,7,,2020-01-04T05:42:08,2020-01-04T18:11:03,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-05,29,24.9,26.6,34.4,24.9,28.3,24.4,88,16.33,100,25,rain,0,0,,13.7,275.3,1009.4,63,5.4,159.5,13.7,5,,2020-01-05T05:42:39,2020-01-05T18:11:26,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-06,29.3,23.9,26.6,35,23.9,28.4,24.5,88.6,14.85,100,25,rain,0,0,,17.3,265.4,1009.7,55.8,4.7,212.9,18.2,7,,2020-01-06T05:43:09,2020-01-06T18:11:49,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.409768126,106.9961497",2020-01-07,30.9,24.3,27,37.4,24.3,29.6,24.3,85.9,9.11,100,25,rain,0,0,,21.3,268.2,1009,56.9,5.4,195.5,16.8,7,,2020-01-07T05:43:39,2020-01-07T18:12:12,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
