name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.60933584399505,106.76148727077",2019-12-29,30.0,22.1,26.5,35.9,22.1,29.1,24.1,87.2,3.27,100,8.33,rain,0,0,,14.8,211.4,1010.4,54.3,6.0,231.2,20.1,8,,2019-12-29T05:39:38,2019-12-29T18:09:46,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2019-12-30,32.3,22.4,28.0,39.6,22.4,32.0,24.2,80.6,28.26,100,4.17,rain,0,0,,14.2,217.6,1010.6,49.4,6.1,245.5,21.1,9,,2019-12-30T05:40:09,2019-12-30T18:10:13,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2019-12-31,30.7,22.4,26.7,37.7,22.4,29.6,24.2,86.8,32.71,100,20.83,rain,0,0,29.5,22.3,247.5,1010.8,59.6,5.6,154.7,13.5,6,,2019-12-31T05:40:40,2019-12-31T18:10:39,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-01,29.0,22.4,25.5,38.2,22.4,27.4,24.0,91.6,127.45,100,29.17,rain,0,0,,27.7,282.3,1012.2,61.4,4.4,112.0,9.5,4,,2020-01-01T05:41:11,2020-01-01T18:11:05,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-02,31.0,22.2,26.2,36.2,22.2,28.0,23.3,85.1,14.38,100,25.0,rain,0,0,,14.8,272.8,1012.5,62.6,5.7,186.9,16.0,7,,2020-01-02T05:41:42,2020-01-02T18:11:31,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-03,30.7,22.5,26.8,36.8,22.5,29.3,23.7,83.7,2.53,100,16.67,rain,0,0,,14.8,277.4,1010.7,59.2,6.5,167.4,14.5,6,,2020-01-03T05:42:13,2020-01-03T18:11:55,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-04,30.7,23.1,26.8,36.8,23.1,29.1,23.7,83.6,3.31,100,16.67,rain,0,0,,19.7,287.7,1009.0,57.4,6.0,202.0,17.7,7,,2020-01-04T05:42:44,2020-01-04T18:12:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-05,29.0,22.9,25.8,34.2,22.9,27.1,23.7,88.4,7.38,100,25.0,rain,0,0,,14.8,275.9,1009.2,67.4,5.7,159.5,13.7,5,,2020-01-05T05:43:15,2020-01-05T18:12:43,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-06,29.7,22.4,25.9,35.7,22.4,27.4,23.9,89.1,19.16,100,25.0,rain,0,0,,18.6,261.0,1009.5,57.2,4.8,212.9,18.2,7,,2020-01-06T05:43:45,2020-01-06T18:13:06,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.60933584399505,106.76148727077",2020-01-07,30.7,22.5,26.2,36.8,22.5,28.3,23.8,86.8,7.87,100,25.0,rain,0,0,,19.7,266.1,1008.9,59.1,5.4,195.5,16.8,7,,2020-01-07T05:44:16,2020-01-07T18:13:28,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
