name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.69910121515143,106.955283830524",2019-12-29,30.0,18.9,25.5,35.8,18.9,28.1,23.4,88.4,0.05,100,8.33,rain,0,0,,14.8,202.7,1009.9,56.6,6.1,231.2,20.1,8,,2019-12-29T05:38:42,2019-12-29T18:09:09,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2019-12-30,32.4,19.6,27.0,39.7,19.6,30.7,23.5,82.0,49.65,100,4.17,rain,0,0,,14.1,217.9,1010.4,51.7,6.2,245.5,21.1,9,,2019-12-30T05:39:13,2019-12-30T18:09:36,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2019-12-31,30.7,19.4,25.6,37.7,19.4,28.4,23.5,88.7,49.74,100,20.83,rain,0,0,29.5,22.3,246.3,1010.4,63.1,5.3,154.7,13.5,6,,2019-12-31T05:39:44,2019-12-31T18:10:02,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-01,29.0,19.1,24.4,38.2,19.1,26.3,23.1,93.0,131.64,100,29.17,rain,0,0,,27.7,282.0,1011.8,55.0,4.1,112.0,9.5,4,,2020-01-01T05:40:15,2020-01-01T18:10:28,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-02,31.0,19.4,25.0,36.2,19.4,26.8,22.6,87.6,10.07,100,25.0,rain,0,0,,14.6,271.0,1012.1,65.4,5.6,186.9,16.0,7,,2020-01-02T05:40:46,2020-01-02T18:10:53,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-03,30.7,19.4,25.6,36.9,19.4,28.1,23.0,85.7,0.82,100,8.33,rain,0,0,,14.8,278.5,1010.4,62.0,6.5,167.4,14.5,6,,2020-01-03T05:41:17,2020-01-03T18:11:18,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-04,30.7,19.7,25.6,36.9,19.7,27.8,22.9,85.7,5.57,100,12.5,rain,0,0,,19.6,288.3,1008.7,56.4,5.7,202.0,17.7,7,,2020-01-04T05:41:48,2020-01-04T18:11:42,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-05,29.0,19.7,24.8,34.2,19.7,26.2,22.9,89.6,1.1,100,16.67,rain,0,0,,14.6,278.0,1008.8,69.0,5.6,159.5,13.7,5,,2020-01-05T05:42:19,2020-01-05T18:12:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-06,29.6,19.9,24.8,35.6,19.9,26.3,23.1,90.6,24.89,100,20.83,rain,0,0,,18.3,257.5,1009.1,55.0,4.6,212.9,18.2,7,,2020-01-06T05:42:49,2020-01-06T18:12:29,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.69910121515143,106.955283830524",2020-01-07,30.7,19.7,25.2,36.9,19.7,27.3,23.1,88.8,6.73,100,25.0,rain,0,0,,20.0,266.2,1008.6,59.8,5.1,195.5,16.8,7,,2020-01-07T05:43:20,2020-01-07T18:12:51,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
