name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.45540009566229,106.678608723819",2019-12-29,30.0,24.2,27.3,36.0,24.2,30.3,24.7,86.6,5.25,100,8.33,rain,0,0,,14.8,227.3,1010.9,54.0,6.1,231.2,20.1,8,,2019-12-29T05:40:14,2019-12-29T18:09:50,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2019-12-30,32.2,24.5,28.7,39.4,24.5,33.2,24.7,79.9,6.61,100,4.17,rain,0,0,,14.5,215.9,1011.0,48.9,6.1,245.5,21.1,9,,2019-12-30T05:40:45,2019-12-30T18:10:17,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2019-12-31,30.6,24.5,27.5,37.6,24.5,30.9,24.8,85.6,13.71,100,20.83,rain,0,0,29.5,22.3,246.2,1011.3,58.5,5.9,154.7,13.5,6,,2019-12-31T05:41:16,2019-12-31T18:10:43,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-01,29.0,24.8,26.5,38.2,24.8,28.5,24.7,90.2,115.36,100,29.17,rain,0,0,,27.7,282.7,1012.6,67.4,4.8,112.0,9.5,4,,2020-01-01T05:41:47,2020-01-01T18:11:09,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-02,31.0,24.1,27.0,36.1,24.1,29.3,23.8,83.4,16.36,100,25.0,rain,0,0,,15.4,272.0,1013.0,61.8,6.0,186.9,16.0,7,,2020-01-02T05:42:18,2020-01-02T18:11:35,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-03,30.6,25.0,27.6,36.6,25.0,30.7,24.3,82.5,3.94,100,16.67,rain,0,0,,14.8,278.0,1011.1,58.0,6.8,167.4,14.5,6,,2020-01-03T05:42:49,2020-01-03T18:11:59,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-04,30.6,25.1,27.6,36.6,25.1,30.7,24.2,81.8,0.92,100,16.67,rain,0,0,,20.0,286.8,1009.4,60.4,6.5,202.0,17.7,7,,2020-01-04T05:43:20,2020-01-04T18:12:24,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-05,29.0,25.0,26.6,34.1,25.0,28.2,24.4,87.6,9.99,100,25.0,rain,0,0,27.7,15.2,277.2,1009.7,67.6,5.8,159.5,13.7,5,,2020-01-05T05:43:50,2020-01-05T18:12:47,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-06,29.8,24.4,26.7,35.9,24.4,28.7,24.5,87.9,13.79,100,25.0,rain,0,0,,19.0,256.0,1009.9,60.0,5.0,212.9,18.2,7,,2020-01-06T05:44:21,2020-01-06T18:13:10,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.45540009566229,106.678608723819",2020-01-07,30.6,24.5,27.0,36.6,24.5,29.6,24.3,85.3,8.63,100,25.0,rain,0,0,,19.2,263.6,1009.3,59.7,5.8,195.5,16.8,7,,2020-01-07T05:44:51,2020-01-07T18:13:33,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
