name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.52510496406705,106.892698513052",2019-12-29,30.0,22.5,26.6,35.6,22.5,29.2,24.1,86.9,3.84,100,8.33,rain,0,0,,14.8,196.9,1010.4,53.2,5.8,231.2,20.1,8,,2019-12-29T05:39:15,2019-12-29T18:09:06,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2019-12-30,32.5,22.5,28.1,40.0,22.5,32.1,24.2,80.3,27.75,100,4.17,rain,0,0,,13.9,218.1,1010.6,48.5,5.9,245.5,21.1,9,,2019-12-30T05:39:46,2019-12-30T18:09:32,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2019-12-31,30.8,22.5,26.8,37.7,22.5,29.8,24.3,86.7,33.11,100,20.83,rain,0,0,29.5,22.3,234.1,1010.8,58.0,5.4,154.7,13.5,6,,2019-12-31T05:40:17,2019-12-31T18:09:59,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-01,29.0,22.7,25.6,38.2,22.7,27.5,24.1,91.8,127.46,100,29.17,rain,0,0,,27.7,280.4,1012.1,60.7,4.4,112.0,9.5,4,,2020-01-01T05:40:48,2020-01-01T18:10:25,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-02,31.0,22.4,26.3,36.3,22.4,28.1,23.4,85.1,15.52,100,25.0,rain,0,0,,14.2,273.8,1012.5,61.9,5.5,186.9,16.0,7,,2020-01-02T05:41:19,2020-01-02T18:10:50,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-03,30.8,22.6,26.9,37.1,22.6,29.6,23.8,83.5,2.6,100,16.67,rain,0,0,,14.8,277.2,1010.6,58.5,6.3,167.4,14.5,6,,2020-01-03T05:41:50,2020-01-03T18:11:15,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-04,30.8,23.4,26.9,37.1,23.4,29.3,23.8,83.8,3.28,100,16.67,rain,0,0,,19.3,286.9,1009.0,56.0,5.9,202.0,17.7,7,,2020-01-04T05:42:21,2020-01-04T18:11:39,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-05,29.0,23.0,25.9,34.3,23.0,27.4,23.8,88.5,8.81,100,25.0,rain,0,0,,14.2,275.6,1009.2,65.9,5.5,159.5,13.7,5,,2020-01-05T05:42:52,2020-01-05T18:12:03,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-06,29.5,22.6,26.0,35.3,22.6,27.5,24.0,89.2,18.94,100,25.0,rain,0,0,,17.9,262.6,1009.5,56.4,4.7,212.9,18.2,7,,2020-01-06T05:43:22,2020-01-06T18:12:26,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-07,30.8,22.6,26.3,37.1,22.6,28.5,23.8,86.8,8.01,100,25.0,rain,0,0,,20.6,267.0,1008.9,58.3,5.3,195.5,16.8,7,,2020-01-07T05:43:53,2020-01-07T18:12:48,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-08,29.8,23.2,26.4,34.8,23.2,28.4,23.5,84.5,6.99,100,12.5,rain,0,0,,24.1,253.7,1008.4,59.1,5.0,239.0,20.6,8,,2020-01-08T05:44:23,2020-01-08T18:13:10,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52510496406705,106.892698513052",2020-01-09,29.0,23.0,25.9,34.3,23.0,27.5,23.8,88.6,47.03,100,33.33,rain,0,0,40.7,25.9,267.9,1008.1,64.2,4.7,214.0,18.7,8,,2020-01-09T05:44:53,2020-01-09T18:13:31,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
