name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.588383979, 106.7296876",2019-12-29,30,22.7,26.7,35.9,22.7,29.4,24.3,87.1,4.01,100,8.33,rain,0,0,,14.8,228.5,1010.5,54.5,6.1,231.2,20.1,8,,2019-12-29T05:39:48,2019-12-29T18:09:51,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2019-12-30,32.3,23.1,28.2,39.6,23.1,32.2,24.3,80.4,22.31,100,4.17,rain,0,0,,14.3,216.5,1010.8,49.5,6.1,245.5,21.1,9,,2019-12-30T05:40:19,2019-12-30T18:10:18,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2019-12-31,30.6,23,26.9,37.7,23,29.8,24.4,86.4,27.74,100,20.83,rain,0,0,29.5,22.3,247.3,1011,59.6,5.7,154.7,13.5,6,,2019-12-31T05:40:50,2019-12-31T18:10:45,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-01,29,23,25.8,38.2,23,27.7,24.2,91.1,125.55,100,29.17,rain,0,0,,27.7,283,1012.3,63,4.6,112,9.5,4,,2020-01-01T05:41:21,2020-01-01T18:11:11,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-02,31,22.8,26.4,36.1,22.8,28.3,23.4,84.6,15.28,100,25,rain,0,0,,14.9,272.3,1012.6,62.8,5.8,186.9,16,7,,2020-01-02T05:41:52,2020-01-02T18:11:36,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-03,30.6,23.3,27,36.7,23.3,29.6,23.8,83.4,2.96,100,16.67,rain,0,0,,14.8,277.9,1010.8,59,6.6,167.4,14.5,6,,2020-01-03T05:42:23,2020-01-03T18:12:01,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-04,30.6,23.6,27,36.7,23.6,29.4,23.8,83,2.67,100,16.67,rain,0,0,,19.8,287.4,1009.1,58.7,6.2,202,17.7,7,,2020-01-04T05:42:54,2020-01-04T18:12:25,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-05,29,23.6,26,34.2,23.6,27.3,23.9,88.1,8.68,100,25,rain,0,0,27.7,14.9,277.5,1009.3,67.7,5.8,159.5,13.7,5,,2020-01-05T05:43:24,2020-01-05T18:12:49,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-06,29.7,22.9,26.1,35.8,22.9,27.6,24,88.7,17.59,100,25,rain,0,0,,18.7,255.6,1009.5,58.1,4.9,212.9,18.2,7,,2020-01-06T05:43:55,2020-01-06T18:13:12,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-07,30.6,23.1,26.4,36.7,23.1,28.5,23.9,86.3,8.13,100,25,rain,0,0,,19.6,263.5,1009,59.5,5.5,195.5,16.8,7,,2020-01-07T05:44:25,2020-01-07T18:13:34,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-08,29.6,23.2,26.5,34.6,23.2,28.5,23.5,83.9,6.41,100,12.5,rain,0,0,,24.1,256.2,1008.4,59.2,5.2,239,20.6,8,,2020-01-08T05:44:55,2020-01-08T18:13:55,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-09,29,23.6,26.1,34.2,23.6,27.7,23.8,87.6,40.41,100,33.33,rain,0,0,40.7,25.9,271.2,1008.3,65.3,4.9,214,18.7,8,,2020-01-09T05:45:25,2020-01-09T18:14:16,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-10,27.6,22,24.6,31.5,22,25.1,23,90.7,17.04,100,33.33,rain,0,0,,27.7,279.9,1009.1,73.5,5.3,235.4,20.4,8,,2020-01-10T05:45:55,2020-01-10T18:14:36,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-11,31,21.9,25.9,35.2,21.9,27.3,22.8,83.8,2.03,100,16.67,rain,0,0,,31.7,272.9,1009.3,64.6,6.4,199.7,17.2,8,,2020-01-11T05:46:24,2020-01-11T18:14:55,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.588383979, 106.7296876",2020-01-12,32,22.9,27.2,37.9,22.9,29.6,22.8,77.4,0,0,0,,0,0,42.5,18.4,275.2,1008.4,52.5,7.8,314.5,27.3,10,,2020-01-12T05:46:53,2020-01-12T18:15:14,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
