name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.405015831, 106.9313518",2019-12-29,30,24.5,27.3,35.6,24.5,30.2,24.6,85.9,7.47,100,8.33,rain,0,0,,14.8,197.1,1010.6,49.4,5.5,231.2,20.1,8,,2019-12-29T05:39:18,2019-12-29T18:08:44,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2019-12-30,32.8,24.6,28.7,40.3,24.6,33.2,24.6,79.1,10.97,100,4.17,rain,0,0,,14.3,204.4,1010.8,45.6,5.7,245.5,21.1,9,,2019-12-30T05:39:49,2019-12-30T18:09:11,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2019-12-31,30.9,24.2,27.5,37.7,24.2,30.9,24.8,85.6,21.72,100,20.83,rain,0,0,29.5,22.3,236.3,1011.1,53.2,5.3,154.7,13.5,6,,2019-12-31T05:40:20,2019-12-31T18:09:37,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-01,29,24.5,26.2,38.2,24.5,28.2,24.7,91.4,121.05,100,29.17,rain,0,0,,27.7,278,1012.4,62.5,4.5,112,9.5,4,,2020-01-01T05:40:51,2020-01-01T18:10:03,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-02,31,23.9,27,36.4,23.9,29.2,23.9,84,21.51,100,25,rain,0,0,,13.6,275,1012.7,58.6,5.3,186.9,16,7,,2020-01-02T05:41:22,2020-01-02T18:10:29,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-03,30.9,24.8,27.7,37.4,24.8,31,24.3,82.3,3.87,100,16.67,rain,0,0,,14.8,277.5,1010.8,55.5,6,167.4,14.5,6,,2020-01-03T05:41:53,2020-01-03T18:10:54,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-04,30.9,25.6,27.6,37.4,25.6,30.7,24.4,83.1,1.59,100,16.67,rain,0,0,,18.8,285.3,1009.2,53.7,5.9,202,17.7,7,,2020-01-04T05:42:24,2020-01-04T18:11:18,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-05,29,25,26.6,34.4,25,28.4,24.4,88,16.42,100,25,rain,0,0,,13.6,275,1009.4,62.2,5.3,159.5,13.7,5,,2020-01-05T05:42:55,2020-01-05T18:11:41,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-06,29.2,24,26.6,34.9,24,28.7,24.5,88.6,14.34,100,25,rain,0,0,,17.2,265.3,1009.7,55.3,4.7,212.9,18.2,7,,2020-01-06T05:43:25,2020-01-06T18:12:04,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.405015831, 106.9313518",2020-01-07,30.9,24.5,27,37.4,24.5,29.7,24.4,85.8,9.08,100,25,rain,0,0,,21.4,268.6,1009.1,56.5,5.3,195.5,16.8,7,,2020-01-07T05:43:55,2020-01-07T18:12:27,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
