name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.387304396, 106.6870097",2019-12-29,30,24.5,27.3,36.1,24.5,30.5,24.8,86.6,5.42,100,8.33,rain,0,0,,14.8,227.1,1011,54,6.1,231.2,20.1,8,,2019-12-29T05:40:19,2019-12-29T18:09:40,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2019-12-30,32.1,24.7,28.8,39.4,24.7,33.4,24.8,79.8,3.48,100,4.17,rain,0,0,,14.8,215.9,1011.1,48.8,6.1,245.5,21.1,9,,2019-12-30T05:40:50,2019-12-30T18:10:07,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2019-12-31,30.6,24.7,27.6,37.6,24.7,31,24.8,85.4,10.78,100,20.83,rain,0,0,29.5,22.3,245.8,1011.4,58.4,6,154.7,13.5,6,,2019-12-31T05:41:21,2019-12-31T18:10:34,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-01,29,25,26.6,38.2,25,28.7,24.8,90,112.58,100,29.17,rain,0,0,,27.7,282.6,1012.7,68.3,4.9,112,9.5,4,,2020-01-01T05:41:52,2020-01-01T18:11:00,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-02,31,24.4,27.2,36.1,24.4,29.5,23.9,83.2,16.63,100,25,rain,0,0,,16.5,271.9,1013.1,61.6,6,186.9,16,7,,2020-01-02T05:42:23,2020-01-02T18:11:25,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-03,30.6,25.4,27.7,36.6,25.4,31,24.3,82.3,4.11,100,16.67,rain,0,0,,14.8,278.3,1011.2,57.8,6.9,167.4,14.5,6,,2020-01-03T05:42:54,2020-01-03T18:11:50,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-04,30.6,25.3,27.8,36.6,25.3,31,24.3,81.6,0.57,100,16.67,rain,0,0,,20.1,286.8,1009.5,60.8,6.6,202,17.7,7,,2020-01-04T05:43:25,2020-01-04T18:12:15,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-05,29,25,26.7,34.1,25,28.5,24.4,87.5,9.92,100,25,rain,0,0,27.7,15.3,277,1009.8,67.7,5.9,159.5,13.7,5,,2020-01-05T05:43:55,2020-01-05T18:12:38,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-06,29.9,24.4,26.8,36,24.4,29,24.6,87.8,13.07,100,25,rain,0,0,,19.1,256.2,1010,60.4,5.1,212.9,18.2,7,,2020-01-06T05:44:26,2020-01-06T18:13:01,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-07,30.6,24.8,27.1,36.6,24.8,29.8,24.3,85.1,8.69,100,25,rain,0,0,,19,263.8,1009.4,59.8,5.9,195.5,16.8,7,,2020-01-07T05:44:56,2020-01-07T18:13:24,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-08,29.6,24.8,27.2,34.5,24.8,29.9,24,82.8,3.98,100,12.5,rain,0,0,,24.1,255.9,1008.8,58.9,5.6,239,20.6,8,,2020-01-08T05:45:26,2020-01-08T18:13:45,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-09,29,25,26.8,34.1,25,29.1,24.3,86.3,21.42,100,33.33,rain,0,0,40.7,25.9,272.4,1008.6,69.1,5.4,214,18.7,8,,2020-01-09T05:45:56,2020-01-09T18:14:06,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-10,27.6,23.5,25.2,31.2,23.5,25.7,23.5,90.4,23.95,100,33.33,rain,0,0,,27.7,278.9,1009.8,74,5.2,235.4,20.4,8,,2020-01-10T05:46:25,2020-01-10T18:14:26,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-11,31,23.7,26.6,35,23.7,28.5,23.4,83.5,2.67,100,16.67,rain,0,0,,31.7,274.2,1009.9,64,6.5,199.7,17.2,8,,2020-01-11T05:46:54,2020-01-11T18:14:46,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-12,32,24.6,27.9,37.9,24.6,30.6,23.4,77.2,0,0,0,,0,0,42.5,18.4,273.7,1008.9,51.6,7.9,314.5,27.3,10,,2020-01-12T05:47:23,2020-01-12T18:15:04,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-13,30.6,25,27.3,37.8,25,29.9,24,82.6,6.78,100,20.83,rain,0,0,,18.8,275.5,1008.7,63.9,6.7,309.7,26.5,10,,2020-01-13T05:47:52,2020-01-13T18:15:22,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.387304396, 106.6870097",2020-01-14,31.6,25,27.9,36.7,25,30.7,23.8,79.3,4.57,100,12.5,rain,0,0,,22.8,270.7,1009.6,52.6,7.3,222.3,19,7,,2020-01-14T05:48:20,2020-01-14T18:15:39,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
