name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.48193504748969,106.45661598101",2019-12-29,30.0,24.0,27.2,36.4,24.0,30.3,24.8,87.1,7.24,100,12.5,rain,0,0,,14.8,224.1,1010.9,56.6,6.2,200.5,17.2,7,,2019-12-29T05:41:04,2019-12-29T18:10:46,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2019-12-30,31.8,24.2,28.6,39.2,24.2,33.2,24.8,80.4,4.63,100,12.5,rain,0,0,,17.2,214.7,1010.9,50.5,6.2,266.4,23.1,9,,2019-12-30T05:41:35,2019-12-30T18:11:13,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2019-12-31,30.4,24.6,27.5,37.6,24.6,31.1,24.8,85.5,9.76,100,20.83,rain,0,0,29.5,22.3,244.8,1011.3,61.7,6.1,187.9,16.2,7,,2019-12-31T05:42:06,2019-12-31T18:11:39,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-01,29.0,24.6,26.6,38.2,24.6,29.2,24.7,89.6,102.17,100,29.17,rain,0,0,,27.7,284.5,1012.6,70.6,5.0,105.3,9.0,4,,2020-01-01T05:42:37,2020-01-01T18:12:05,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-02,31.0,24.1,27.1,35.9,24.1,29.4,23.9,83.2,14.65,100,25.0,rain,0,0,,16.1,270.8,1012.9,62.8,6.1,187.2,16.1,7,,2020-01-02T05:43:08,2020-01-02T18:12:31,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-03,30.6,25.2,27.6,36.4,25.2,30.7,24.3,82.4,5.05,100,20.83,rain,0,0,,15.1,277.9,1011.1,60.0,7.1,170.4,14.7,6,,2020-01-03T05:43:39,2020-01-03T18:12:55,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-04,30.5,25.0,27.7,36.3,25.0,30.8,24.2,81.5,0.69,100,16.67,rain,0,0,,20.7,286.9,1009.4,63.2,6.7,167.3,14.2,6,,2020-01-04T05:44:10,2020-01-04T18:13:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-05,29.0,25.0,26.7,34.0,25.0,28.3,24.4,87.5,8.25,100,25.0,rain,0,0,,16.1,276.4,1009.7,71.0,6.0,171.9,14.9,6,,2020-01-05T05:44:41,2020-01-05T18:13:43,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-06,30.2,24.4,26.8,36.5,24.4,29.0,24.5,87.5,14.03,100,25.0,rain,0,0,,20.8,255.4,1009.8,62.8,5.1,212.5,18.3,7,,2020-01-06T05:45:11,2020-01-06T18:14:06,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.48193504748969,106.45661598101",2020-01-07,30.4,24.6,27.0,36.2,24.6,29.6,24.2,85.1,8.5,100,33.33,rain,0,0,,18.4,263.5,1009.3,62.1,6.1,158.8,13.7,6,,2020-01-07T05:45:42,2020-01-07T18:14:29,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
