name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.495660182,107.0462951",2012-09-23,32.8,23,28.1,37,23,30.6,22.6,73.1,8.72,100,16.67,rain,,,,24.1,335.5,1010.1,51.4,6.3,299.3,25.9,10,,2012-09-23T05:40:44,2012-09-23T17:47:39,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-24,32.2,23.4,27.9,37.9,23.4,30.5,22.8,74.5,0.45,100,8.33,rain,,,,29.5,44,1009.2,59.2,7.1,272.2,23.7,9,,2012-09-24T05:40:13,2012-09-24T17:47:29,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-25,32.8,22.6,27.7,38,22.6,30.1,21.9,71,4.26,100,8.33,rain,,,,17.6,274.5,1009.6,49.1,7.1,250.8,21.7,9,,2012-09-25T05:39:41,2012-09-25T17:47:19,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-26,32,22.5,27.4,37.9,22.5,29.6,22,72.6,0,0,0,,,,,16.9,266.4,1010.8,43.9,7.6,230.4,19.9,9,,2012-09-26T05:39:10,2012-09-26T17:47:09,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-27,33.3,22.3,27.3,36.8,22.3,29,21.5,71.7,0,0,0,,,,,18.4,249.9,1011.4,48.8,7.6,252,21.8,9,,2012-09-27T05:38:39,2012-09-27T17:46:59,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-28,33,20.4,27,38.1,20.4,28.7,21.1,71.5,0,0,0,,,,,22.3,70.7,1011.4,43.1,7.4,306.7,26.4,10,,2012-09-28T05:38:08,2012-09-28T17:46:49,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-29,33.8,22.6,28.2,38,22.6,30.4,21.8,69.4,10.61,100,8.33,rain,,,,13,45.5,1011.4,38.4,6.5,267.9,23.1,10,,2012-09-29T05:37:37,2012-09-29T17:46:40,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2012-09-30,34.6,21.5,28.2,39.2,21.5,30.7,22.3,71.4,0,0,0,,,,,20.8,37.5,1012,43.2,7.2,249.7,21.5,9,,2012-09-30T05:37:06,2012-09-30T17:46:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2012-10-01,33.8,21.2,28.3,38,21.2,30.5,22.2,71.2,0.15,100,4.17,rain,,,,22.3,55.2,1012.4,45.1,6.2,280,24.2,10,,2012-10-01T05:36:36,2012-10-01T17:46:22,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,96739099999,WIII,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
"-6.495660182,107.0462951",2012-10-02,32.8,23.1,27.6,39.2,23.1,30.3,23,77,8.09,100,8.33,rain,,,46.4,15.3,22.4,1013.3,58.9,5.7,241.6,20.8,8,,2012-10-02T05:36:06,2012-10-02T17:46:14,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
