name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.495660182,107.0462951",2015-02-25,31.8,22.8,27.1,37.6,22.8,29.4,23.1,80,0.34,100,4.17,rain,0,0,,18.2,317.1,1011,43.8,4.4,159.7,13.8,6,,2015-02-25T05:57:17,2015-02-25T18:12:33,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-02-26,32,23.3,27.3,37.2,23.3,29.5,23,78.7,0.6,100,4.17,rain,0,0,,17.9,318.5,1010.4,50.9,4.9,151.1,13.2,5,,2015-02-26T05:57:18,2015-02-26T18:12:12,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-02-27,32,23.1,26.7,37.9,23.1,28.7,23.3,81.8,19.97,100,12.5,rain,0,0,,106.8,345.5,1010,61.7,4.8,219.6,18.9,8,,2015-02-27T05:57:19,2015-02-27T18:11:52,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-02-28,31.4,22.5,26.4,37.1,22.5,28.2,22.8,81.6,25.45,100,20.83,rain,0,0,,24.4,343.6,1010.6,62.2,5,206.9,17.9,8,,2015-02-28T05:57:18,2015-02-28T18:11:30,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
"-6.495660182,107.0462951",2015-03-01,29.6,22.6,25.8,33.6,22.6,26.9,22.9,84.4,7.12,100,20.83,rain,0,0,,14.8,286.4,1011.2,58.2,4.8,200.4,17.4,8,,2015-03-01T05:57:18,2015-03-01T18:11:08,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-03-02,30.6,22.5,25.6,35.3,22.5,26.7,22.7,84.4,15.31,100,16.67,rain,0,0,,18,279.4,1011.3,60.2,5.3,157.2,13.5,5,,2015-03-02T05:57:17,2015-03-02T18:10:46,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-03-03,31,22.3,25.8,35.3,22.3,27,22.8,84.1,8.09,100,16.67,rain,0,0,33.5,17.2,283.2,1011.2,56.5,4.9,135.1,11.6,5,,2015-03-03T05:57:15,2015-03-03T18:10:23,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-03-04,30.8,22.1,26,36.9,22.1,27.8,22.5,81.4,9.81,100,12.5,rain,0,0,,22.3,246.6,1011.3,54.6,6,183,15.7,7,,2015-03-04T05:57:13,2015-03-04T18:09:59,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-03-05,31.8,22.1,26.6,35.3,22.1,27.9,21.4,75,0.51,100,8.33,rain,0,0,,14,311.7,1011.8,49.2,5.7,192.9,16.7,7,,2015-03-05T05:57:11,2015-03-05T18:09:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2015-03-06,31.6,22.2,26.5,35.5,22.2,27.8,21.8,76.4,0.48,100,4.17,rain,0,0,,20.5,285.8,1012.1,52.3,6.1,186.4,16,7,,2015-03-06T05:57:08,2015-03-06T18:09:10,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
