name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.495660182,107.0462951",2017-07-28,32.8,21,27.3,36.2,21,29.3,22.5,76.4,0.45,100,8.33,rain,0,0,27.7,18,75,1011,56.8,6,218.4,18.8,8,,2017-07-28T06:03:45,2017-07-28T17:52:56,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,96739099999,WIII,WIHH,96781099999,remote,96751099999,96749099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-07-29,32.4,23.6,27.1,38.7,23.6,28.9,23.4,81.4,5.36,100,20.83,rain,0,0,,18.6,135.8,1011.2,59.1,5.7,190.6,16.6,7,,2017-07-29T06:03:37,2017-07-29T17:53:02,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-07-30,32,22,27.4,37.6,22,29.9,23.1,78.8,2.59,100,12.5,rain,0,0,,18,52.7,1010.2,46.5,6.4,244.9,21.2,9,,2017-07-30T06:03:27,2017-07-30T17:53:07,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-07-31,32.8,23,28.1,38.9,23,31.4,23.6,77.6,1.29,100,4.17,rain,0,0,,14.3,274.5,1010.8,51.6,6,257.8,22.3,9,,2017-07-31T06:03:17,2017-07-31T17:53:11,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-08-01,32.6,21.1,27.2,35.1,21.1,28.5,20.2,66.9,0,0,0,,0,0,,14.8,87.1,1011.6,42.8,6.6,267.2,23,9,,2017-08-01T06:03:07,2017-08-01T17:53:15,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-08-02,32.8,20.8,27.2,34.1,20.8,28.2,19.6,65,0,0,0,,0,0,,15.8,107.8,1011.5,38.1,7.4,259.8,22.4,9,,2017-08-02T06:02:55,2017-08-02T17:53:18,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-08-03,32.6,21.6,27.2,34.4,21.6,28.2,20.3,67.7,0.03,100,4.17,rain,0,0,,14,220.9,1010.5,40.1,6.3,262.4,22.8,9,,2017-08-03T06:02:43,2017-08-03T17:53:21,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-08-04,32.6,21.3,27.1,34.3,21.3,28,20.1,67.1,0,0,0,,0,0,,19.3,57.2,1009.6,41.3,6.4,267.4,23.2,9,,2017-08-04T06:02:30,2017-08-04T17:53:23,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.495660182,107.0462951",2017-08-05,32.8,19.2,27.1,36.5,19.2,28.7,21.2,71.9,0,0,0,,0,0,,14,36.4,1009.3,42.5,5.8,261.4,22.5,9,,2017-08-05T06:02:17,2017-08-05T17:53:25,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,remote,96745099999,96749599999"
"-6.495660182,107.0462951",2017-08-06,32.6,22.9,27.8,36,22.9,29.7,21.8,71.2,0,0,0,,0,0,,17.6,57.6,1010.2,46.1,5.9,257,22.2,9,,2017-08-06T06:02:02,2017-08-06T17:53:27,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
