name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.49566018240588, 107.04629514365",2019-12-29,30,23.1,26.7,35.6,23.1,29.5,24.2,86.6,4.84,100,8.33,rain,0,0,,14.8,196.5,1010.4,52.7,5.8,231.2,20.1,8,,2019-12-29T05:38:41,2019-12-29T18:08:26,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2019-12-30,32.6,22.7,28.2,40,22.7,32.2,24.3,80,24.21,100,4.17,rain,0,0,,14,219,1010.8,48.3,5.9,245.5,21.1,9,,2019-12-30T05:39:12,2019-12-30T18:08:53,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2019-12-31,30.8,22.4,26.9,37.7,22.4,30,24.4,86.5,31.08,100,20.83,rain,0,0,29.5,22.3,234.6,1011,57.6,5.4,154.7,13.5,6,,2019-12-31T05:39:43,2019-12-31T18:09:19,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-01,29,22.6,25.7,38.2,22.6,27.5,24.1,91.7,127.26,100,29.17,rain,0,0,,27.7,279.3,1012.3,61.7,4.4,112,9.5,4,,2020-01-01T05:40:14,2020-01-01T18:09:45,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-02,31,22.6,26.4,36.3,22.6,28.3,23.5,84.8,16.17,100,25,rain,0,0,,14.1,273.7,1012.6,61.5,5.5,186.9,16,7,,2020-01-02T05:40:45,2020-01-02T18:10:10,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-03,30.8,22.8,27.1,37.2,22.8,29.9,23.9,83.1,2.93,100,16.67,rain,0,0,,14.8,278.2,1010.8,58.4,6.2,167.4,14.5,6,,2020-01-03T05:41:16,2020-01-03T18:10:35,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-04,30.8,23.8,27,37.2,23.8,29.5,24,83.6,2.96,100,16.67,rain,0,0,,19.2,286.6,1009.1,55.8,5.9,202,17.7,7,,2020-01-04T05:41:47,2020-01-04T18:11:00,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-05,29,23.2,26.1,34.3,23.2,27.5,24,88.3,11.37,100,25,rain,0,0,,14.1,275,1009.3,65.6,5.5,159.5,13.7,5,,2020-01-05T05:42:18,2020-01-05T18:11:23,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-06,29.4,23,26.1,35.2,23,27.6,24.1,89,17.88,100,25,rain,0,0,,17.7,264.1,1009.5,56.5,4.7,212.9,18.2,7,,2020-01-06T05:42:48,2020-01-06T18:11:46,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.49566018240588, 107.04629514365",2020-01-07,30.8,22.8,26.4,37.2,22.8,28.6,23.9,86.5,8.38,100,25,rain,0,0,,20.8,268.6,1009.1,58.5,5.3,195.5,16.8,7,,2020-01-07T05:43:19,2020-01-07T18:12:08,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
