name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.50294314889976,106.734694705089",2019-12-29,30.0,23.7,27.0,35.8,23.7,29.9,24.5,86.7,5.23,100,8.33,rain,0,0,,14.8,228.9,1010.7,54.0,6.1,231.2,20.1,8,,2019-12-29T05:39:55,2019-12-29T18:09:41,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2019-12-30,32.3,24.0,28.5,39.6,24.0,32.8,24.6,80.0,13.24,100,4.17,rain,0,0,,14.2,216.3,1010.9,48.9,6.1,245.5,21.1,9,,2019-12-30T05:40:26,2019-12-30T18:10:08,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2019-12-31,30.7,23.9,27.2,37.7,23.9,30.5,24.6,85.9,20.33,100,20.83,rain,0,0,29.5,22.3,247.4,1011.2,58.5,5.8,154.7,13.5,6,,2019-12-31T05:40:57,2019-12-31T18:10:35,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-01,29.0,24.1,26.2,38.2,24.1,28.1,24.5,90.6,121.75,100,29.17,rain,0,0,,27.7,282.0,1012.5,65.3,4.7,112.0,9.5,4,,2020-01-01T05:41:28,2020-01-01T18:11:01,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-02,31.0,23.6,26.8,36.2,23.6,28.9,23.7,83.9,17.08,100,25.0,rain,0,0,,14.8,272.2,1012.8,62.2,5.8,186.9,16.0,7,,2020-01-02T05:41:59,2020-01-02T18:11:26,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-03,30.7,24.4,27.3,36.8,24.4,30.3,24.1,82.8,3.62,100,16.67,rain,0,0,,14.8,277.9,1010.9,58.3,6.7,167.4,14.5,6,,2020-01-03T05:42:30,2020-01-03T18:11:51,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-04,30.7,24.6,27.4,36.8,24.6,30.2,24.1,82.4,1.69,100,16.67,rain,0,0,,19.7,286.7,1009.3,59.2,6.3,202.0,17.7,7,,2020-01-04T05:43:01,2020-01-04T18:12:15,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-05,29.0,24.6,26.4,34.2,24.6,27.8,24.2,87.8,10.76,100,25.0,rain,0,0,27.7,14.8,277.3,1009.5,67.3,5.8,159.5,13.7,5,,2020-01-05T05:43:32,2020-01-05T18:12:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-06,29.7,23.8,26.5,35.7,23.8,28.2,24.3,88.3,15.26,100,25.0,rain,0,0,,18.5,256.2,1009.7,59.0,5.0,212.9,18.2,7,,2020-01-06T05:44:02,2020-01-06T18:13:02,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.50294314889976,106.734694705089",2020-01-07,30.7,24.0,26.8,36.8,24.0,29.3,24.1,85.7,8.54,100,25.0,rain,0,0,,19.7,263.3,1009.2,59.4,5.6,195.5,16.8,7,,2020-01-07T05:44:33,2020-01-07T18:13:24,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
