name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.640136933,106.609902",2019-12-29,30,23.3,26.9,36.1,23.3,29.8,24.5,87,4.46,100,8.33,rain,0,0,,14.8,227.1,1010.7,54.2,6.2,231.2,20.1,8,,2019-12-29T05:40:11,2019-12-29T18:10:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2019-12-30,32.1,23.6,28.4,39.4,23.6,32.6,24.5,80.3,16.57,100,4.17,rain,0,0,,14.9,216.2,1010.8,49.3,6.2,245.5,21.1,9,,2019-12-30T05:40:42,2019-12-30T18:10:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2019-12-31,30.6,23.6,27.1,37.6,23.6,30.2,24.5,86.1,22.52,100,20.83,rain,0,0,29.5,22.3,246.3,1011.1,59.4,5.8,154.7,13.5,6,,2019-12-31T05:41:13,2019-12-31T18:11:19,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-01,29,23.7,26.1,38.2,23.7,28,24.4,90.6,124.01,100,29.17,rain,0,0,,27.7,284.2,1012.4,64.9,4.7,112,9.5,4,,2020-01-01T05:41:44,2020-01-01T18:11:45,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-02,31,23.3,26.6,36.1,23.3,28.7,23.6,84,15.47,100,25,rain,0,0,,15.4,272.3,1012.8,62.2,5.9,186.9,16,7,,2020-01-02T05:42:15,2020-01-02T18:12:10,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-03,30.6,24,27.2,36.5,24,29.8,24,83,3.39,100,16.67,rain,0,0,,14.8,278.6,1010.9,58.4,6.8,167.4,14.5,6,,2020-01-03T05:42:46,2020-01-03T18:12:35,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-04,30.6,23.9,27.2,36.5,23.9,29.9,23.9,82.4,2.03,100,16.67,rain,0,0,,20.1,287.3,1009.2,59.9,6.4,202,17.7,7,,2020-01-04T05:43:17,2020-01-04T18:12:59,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-05,29,24.2,26.3,34.1,24.2,27.6,24.1,87.8,9.29,100,25,rain,0,0,27.7,15.4,277.5,1009.5,67.9,5.8,159.5,13.7,5,,2020-01-05T05:43:48,2020-01-05T18:13:23,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-06,29.9,23.5,26.4,36,23.5,28,24.2,88.2,16.15,100,25,rain,0,0,,19.1,255.9,1009.7,58.7,5,212.9,18.2,7,,2020-01-06T05:44:18,2020-01-06T18:13:46,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-07,30.6,23.6,26.6,36.5,23.6,29,24,85.9,8.36,100,25,rain,0,0,,19,263.8,1009.2,59.6,5.7,195.5,16.8,7,,2020-01-07T05:44:49,2020-01-07T18:14:08,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-08,29.6,23.7,26.7,34.4,23.7,28.8,23.7,83.4,5.66,100,12.5,rain,0,0,,24.1,256.6,1008.5,58.8,5.4,239,20.6,8,,2020-01-08T05:45:19,2020-01-08T18:14:29,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.640136933,106.609902",2020-01-09,29,24.2,26.3,34.1,24.2,28,23.9,86.9,34.62,100,33.33,rain,0,0,40.7,25.9,273.1,1008.4,66.8,5.1,214,18.7,8,,2020-01-09T05:45:49,2020-01-09T18:14:50,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
