name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.57423320587198,106.587577128926",2019-12-29,30.0,23.8,27.1,36.1,23.8,30.0,24.7,86.9,4.77,100,8.33,rain,0,0,,14.8,226.5,1010.8,54.1,6.2,231.2,20.1,8,,2019-12-29T05:40:23,2019-12-29T18:10:24,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2019-12-30,32.1,24.1,28.5,39.3,24.1,32.8,24.7,80.2,11.15,100,4.17,rain,0,0,,15.3,215.9,1010.9,49.1,6.2,245.5,21.1,9,,2019-12-30T05:40:54,2019-12-30T18:10:51,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2019-12-31,30.5,24.1,27.3,37.6,24.1,30.6,24.7,85.8,17.51,100,20.83,rain,0,0,29.5,22.3,245.8,1011.2,59.1,5.9,154.7,13.5,6,,2019-12-31T05:41:25,2019-12-31T18:11:17,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-01,29.0,24.3,26.4,38.2,24.3,28.2,24.6,90.3,119.94,100,29.17,rain,0,0,,27.7,284.2,1012.5,66.4,4.8,112.0,9.5,4,,2020-01-01T05:41:56,2020-01-01T18:11:43,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-02,31.0,23.7,26.9,36.0,23.7,29.0,23.7,83.7,15.51,100,25.0,rain,0,0,,15.5,272.2,1012.9,61.8,6.0,186.9,16.0,7,,2020-01-02T05:42:27,2020-01-02T18:12:09,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-03,30.5,24.6,27.4,36.5,24.6,30.4,24.1,82.7,3.7,100,16.67,rain,0,0,,14.8,278.6,1011.0,58.1,6.9,167.4,14.5,6,,2020-01-03T05:42:58,2020-01-03T18:12:34,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-04,30.5,24.4,27.5,36.5,24.4,30.3,24.0,82.0,1.43,100,16.67,rain,0,0,,20.2,287.1,1009.3,60.6,6.5,202.0,17.7,7,,2020-01-04T05:43:29,2020-01-04T18:12:58,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-05,29.0,24.7,26.5,34.1,24.7,27.9,24.2,87.6,9.42,100,25.0,rain,0,0,27.7,15.5,277.4,1009.6,67.9,5.9,159.5,13.7,5,,2020-01-05T05:44:00,2020-01-05T18:13:21,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-06,29.9,24.0,26.6,36.1,24.0,28.4,24.3,88.0,14.87,100,25.0,rain,0,0,,19.3,255.8,1009.8,59.4,5.0,212.9,18.2,7,,2020-01-06T05:44:30,2020-01-06T18:13:44,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.57423320587198,106.587577128926",2020-01-07,30.5,24.1,26.8,36.5,24.1,29.3,24.1,85.5,8.5,100,25.0,rain,0,0,,18.8,263.9,1009.3,59.7,5.8,195.5,16.8,7,,2020-01-07T05:45:01,2020-01-07T18:14:06,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
