name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.663782551, 106.9180963",2019-12-29,30,19,25.6,35.8,19,28.1,23.4,88.3,0.17,100,8.33,rain,0,0,,14.8,196.8,1009.9,56.5,6.1,231.2,20.1,8,,2019-12-29T05:38:54,2019-12-29T18:09:14,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2019-12-30,32.4,19.7,27.1,39.8,19.7,30.8,23.6,81.9,48.95,100,4.17,rain,0,0,,14,218,1010.4,51.5,6.1,245.5,21.1,9,,2019-12-30T05:39:25,2019-12-30T18:09:41,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2019-12-31,30.7,19.5,25.6,37.7,19.5,28.5,23.5,88.6,49.16,100,20.83,rain,0,0,29.5,22.3,248,1010.4,62.9,5.3,154.7,13.5,6,,2019-12-31T05:39:57,2019-12-31T18:10:07,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-01,29,19.2,24.4,38.2,19.2,26.3,23.1,93,131.66,100,29.17,rain,0,0,,27.7,281.9,1011.8,55.2,4.1,112,9.5,4,,2020-01-01T05:40:28,2020-01-01T18:10:33,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-02,31,19.5,25,36.2,19.5,26.8,22.6,87.5,10.25,100,25,rain,0,0,,14.6,272.9,1012.1,65.3,5.6,186.9,16,7,,2020-01-02T05:40:59,2020-01-02T18:10:59,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-03,30.7,19.5,25.7,36.9,19.5,28.1,23,85.6,0.89,100,12.5,rain,0,0,,14.8,277,1010.4,61.9,6.5,167.4,14.5,6,,2020-01-03T05:41:30,2020-01-03T18:11:23,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-04,30.7,19.9,25.6,36.9,19.9,27.9,22.9,85.6,5.49,100,12.5,rain,0,0,,19.6,288.6,1008.7,56.4,5.7,202,17.7,7,,2020-01-04T05:42:01,2020-01-04T18:11:48,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-05,29,19.8,24.8,34.2,19.8,26.3,23,89.6,1.35,100,16.67,rain,0,0,,14.6,275.2,1008.8,68.9,5.6,159.5,13.7,5,,2020-01-05T05:42:31,2020-01-05T18:12:11,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-06,29.6,20,24.9,35.6,20,26.4,23.2,90.5,24.71,100,25,rain,0,0,,18.3,260.7,1009.1,55,4.6,212.9,18.2,7,,2020-01-06T05:43:02,2020-01-06T18:12:34,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.663782551, 106.9180963",2020-01-07,30.7,19.8,25.2,36.9,19.8,27.3,23.1,88.7,6.76,100,25,rain,0,0,,20,268,1008.6,59.7,5.1,195.5,16.8,7,,2020-01-07T05:43:32,2020-01-07T18:12:56,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
