name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.672604646, 106.5376874",2019-12-29,30,23.3,26.9,36.1,23.3,29.8,24.5,87.1,7.07,100,12.5,rain,0,0,,14.8,225.7,1010.6,56.3,6.2,200.5,17.2,7,,2019-12-29T05:40:25,2019-12-29T18:10:46,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2019-12-30,32,23.5,28.4,39.3,23.5,32.6,24.5,80.4,13.65,100,12.5,rain,0,0,,15.4,215.3,1010.8,50.5,6.2,266.4,23.1,9,,2019-12-30T05:40:56,2019-12-30T18:11:13,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2019-12-31,30.5,23.8,27.2,37.6,23.8,30.4,24.5,85.9,18.94,100,20.83,rain,0,0,29.5,22.3,246.2,1011,61.4,5.9,187.9,16.2,7,,2019-12-31T05:41:27,2019-12-31T18:11:40,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-01,29,23.7,26.2,38.2,23.7,28.1,24.4,90.3,113.51,100,29.17,rain,0,0,,27.7,283.5,1012.3,67.2,4.8,105.3,9,4,,2020-01-01T05:41:58,2020-01-01T18:12:06,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-02,31,23.4,26.7,36,23.4,28.9,23.6,83.9,15.84,100,25,rain,0,0,,15.5,271.1,1012.7,63.3,5.9,187.2,16.1,7,,2020-01-02T05:42:29,2020-01-02T18:12:31,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-03,30.5,24.2,27.3,36.5,24.2,30.1,24,82.9,4.56,100,20.83,rain,0,0,,14.8,277.6,1010.8,60.3,6.8,170.4,14.7,6,,2020-01-03T05:43:00,2020-01-03T18:12:56,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-04,30.5,24.2,27.3,36.5,24.2,30,24,82.3,1.73,100,16.67,rain,0,0,,20.2,286.6,1009.2,61.5,6.4,167.3,14.2,6,,2020-01-04T05:43:31,2020-01-04T18:13:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-05,29,24.3,26.3,34.1,24.3,27.6,24.1,87.8,9.6,100,25,rain,0,0,,15.5,276.7,1009.4,70.3,5.9,171.9,14.9,6,,2020-01-05T05:44:02,2020-01-05T18:13:43,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-06,30,23.6,26.5,36.1,23.6,28.1,24.2,88,15.9,100,25,rain,0,0,,19.3,255.9,1009.6,61.1,5,212.5,18.3,7,,2020-01-06T05:44:32,2020-01-06T18:14:06,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.672604646, 106.5376874",2020-01-07,30.5,23.8,26.7,36.5,23.8,29.1,24,85.8,8.39,100,33.33,rain,0,0,,18.7,262.6,1009.1,61.4,5.8,158.8,13.7,6,,2020-01-07T05:45:03,2020-01-07T18:14:28,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
