name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.693284908, 106.6596249",2019-12-29,30,22.6,26.7,36,22.6,29.4,24.3,87.2,3.76,100,8.33,rain,0,0,,14.8,227.7,1010.5,54.6,6.2,231.2,20.1,8,,2019-12-29T05:39:53,2019-12-29T18:10:19,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2019-12-30,32.2,22.9,28.1,39.4,22.9,32.1,24.3,80.5,23.56,100,4.17,rain,0,0,,14.5,216.5,1010.7,49.6,6.2,245.5,21.1,9,,2019-12-30T05:40:24,2019-12-30T18:10:46,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2019-12-31,30.6,22.9,26.8,37.6,22.9,29.8,24.3,86.5,28.62,100,20.83,rain,0,0,29.5,22.3,246.7,1010.9,60,5.8,154.7,13.5,6,,2019-12-31T05:40:56,2019-12-31T18:11:12,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-01,29,22.8,25.8,38.2,22.8,27.7,24.2,91,126.89,100,29.17,rain,0,0,,27.7,284.3,1012.3,62.9,4.6,112,9.5,4,,2020-01-01T05:41:27,2020-01-01T18:11:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-02,31,22.6,26.3,36.1,22.6,28.1,23.4,84.6,14.77,100,25,rain,0,0,,15.2,272.4,1012.6,62.8,5.9,186.9,16,7,,2020-01-02T05:41:58,2020-01-02T18:12:04,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-03,30.6,23.1,26.9,36.6,23.1,29.5,23.8,83.4,2.9,100,16.67,rain,0,0,,14.8,278.3,1010.8,59,6.7,167.4,14.5,6,,2020-01-03T05:42:29,2020-01-03T18:12:28,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-04,30.6,23.3,26.9,36.6,23.3,29.3,23.7,83,2.79,100,16.67,rain,0,0,,20,287.9,1009.1,58.9,6.2,202,17.7,7,,2020-01-04T05:43:00,2020-01-04T18:12:53,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-05,29,23.4,26,34.1,23.4,27.3,23.8,88.1,8.25,100,25,rain,0,0,27.7,15.2,277.7,1009.3,68.1,5.8,159.5,13.7,5,,2020-01-05T05:43:30,2020-01-05T18:13:16,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-06,29.8,22.8,26.1,35.9,22.8,27.6,24,88.6,17.93,100,25,rain,0,0,,19,255.6,1009.5,57.9,4.9,212.9,18.2,7,,2020-01-06T05:44:01,2020-01-06T18:13:39,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-07,30.6,23,26.4,36.6,23,28.5,23.8,86.4,8.07,100,25,rain,0,0,,19.2,263.6,1009,59.6,5.5,195.5,16.8,7,,2020-01-07T05:44:32,2020-01-07T18:14:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-08,29.6,23.1,26.5,34.5,23.1,28.4,23.5,83.9,6.65,100,12.5,rain,0,0,,24.1,256.7,1008.4,59,5.3,239,20.6,8,,2020-01-08T05:45:02,2020-01-08T18:14:23,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-09,29,23.4,26,34.1,23.4,27.7,23.7,87.5,41.01,100,33.33,rain,0,0,40.7,25.9,271.7,1008.2,65.2,5,214,18.7,8,,2020-01-09T05:45:32,2020-01-09T18:14:43,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-10,27.6,21.9,24.6,31.3,21.9,25,22.9,90.6,16.28,100,33.33,rain,0,0,,27.7,280.2,1009.1,74.1,5.3,235.4,20.4,8,,2020-01-10T05:46:01,2020-01-10T18:15:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.693284908, 106.6596249",2020-01-11,31,21.8,25.8,35.1,21.8,27.2,22.8,83.7,1.95,100,16.67,rain,0,0,,31.7,272.8,1009.3,64.6,6.4,199.7,17.2,8,,2020-01-11T05:46:31,2020-01-11T18:15:22,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
