name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.435132991, 106.7126776",2019-12-29,30,24.3,27.3,35.9,24.3,30.3,24.7,86.5,5.74,100,8.33,rain,0,0,,14.8,228.4,1010.9,53.8,6.1,231.2,20.1,8,,2019-12-29T05:40:08,2019-12-29T18:09:39,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2019-12-30,32.3,24.6,28.7,39.6,24.6,33.2,24.7,79.8,6.59,100,4.17,rain,0,0,,14.3,216.1,1011,48.7,6.1,245.5,21.1,9,,2019-12-30T05:40:39,2019-12-30T18:10:06,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2019-12-31,30.6,24.5,27.5,37.7,24.5,30.9,24.8,85.5,14.35,100,20.83,rain,0,0,29.5,22.3,247,1011.3,58.1,5.8,154.7,13.5,6,,2019-12-31T05:41:10,2019-12-31T18:10:33,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-01,29,24.8,26.5,38.2,24.8,28.5,24.7,90.3,117.19,100,29.17,rain,0,0,,27.7,281.9,1012.6,67.1,4.8,112,9.5,4,,2020-01-01T05:41:41,2020-01-01T18:10:59,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-02,31,24.2,27.1,36.1,24.2,29.3,23.8,83.4,17.66,100,25,rain,0,0,,15.2,272,1012.9,61.8,5.9,186.9,16,7,,2020-01-02T05:42:12,2020-01-02T18:11:24,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-03,30.6,25.1,27.6,36.7,25.1,30.8,24.3,82.4,4.02,100,16.67,rain,0,0,,14.8,278,1011.1,57.9,6.7,167.4,14.5,6,,2020-01-03T05:42:43,2020-01-03T18:11:49,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-04,30.6,25.2,27.7,36.7,25.2,30.8,24.2,81.9,0.95,100,16.67,rain,0,0,,19.8,286.5,1009.4,60,6.4,202,17.7,7,,2020-01-04T05:43:13,2020-01-04T18:12:13,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-05,29,25,26.6,34.2,25,28.2,24.4,87.6,11.21,100,25,rain,0,0,27.7,15,277.2,1009.7,67.3,5.8,159.5,13.7,5,,2020-01-05T05:43:44,2020-01-05T18:12:37,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-06,29.7,24.4,26.7,35.8,24.4,28.7,24.5,88,13.65,100,25,rain,0,0,,18.7,256.4,1009.9,59.8,5,212.9,18.2,7,,2020-01-06T05:44:15,2020-01-06T18:13:00,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.435132991, 106.7126776",2020-01-07,30.6,24.6,27,36.7,24.6,29.6,24.3,85.3,8.72,100,25,rain,0,0,,19.5,263.5,1009.3,59.5,5.8,195.5,16.8,7,,2020-01-07T05:44:45,2020-01-07T18:13:22,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
