name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.3767011752795,106.554987458122",2019-12-29,30.0,24.2,27.4,36.5,24.2,30.6,24.9,87.2,3.73,100,12.5,rain,0,0,,14.8,221.8,1011.3,55.9,6.2,200.5,17.2,7,,2019-12-29T05:40:52,2019-12-29T18:10:11,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2019-12-30,31.8,24.3,28.7,39.4,24.3,33.5,24.9,80.5,0.08,100,4.17,rain,0,0,,17.9,228.0,1011.2,50.3,6.2,266.4,23.1,9,,2019-12-30T05:41:23,2019-12-30T18:10:38,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2019-12-31,30.4,24.9,27.6,37.6,24.9,31.2,24.9,85.6,4.77,100,12.5,rain,0,0,29.5,22.3,243.6,1011.6,61.2,6.1,187.9,16.2,7,,2019-12-31T05:41:54,2019-12-31T18:11:05,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-01,29.0,25.0,26.8,38.2,25.0,29.4,24.9,89.6,87.11,100,25.0,rain,0,0,,27.7,285.6,1013.0,71.3,5.0,105.3,9.0,4,,2020-01-01T05:42:25,2020-01-01T18:11:31,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-02,31.0,24.3,27.2,35.9,24.3,29.6,24.0,83.3,10.21,100,20.83,rain,0,0,,18.8,271.6,1013.3,62.2,6.3,187.2,16.1,7,,2020-01-02T05:42:56,2020-01-02T18:11:56,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-03,31.0,25.4,27.7,37.0,25.4,30.9,24.4,82.4,3.75,100,16.67,rain,0,0,,15.2,277.7,1011.4,59.3,7.3,170.4,14.7,6,,2020-01-03T05:43:27,2020-01-03T18:12:21,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-04,31.3,25.0,27.8,37.8,25.0,31.0,24.3,81.3,0.08,100,12.5,rain,0,0,,20.8,287.1,1009.6,63.7,6.9,167.3,14.2,6,,2020-01-04T05:43:57,2020-01-04T18:12:45,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-05,29.0,25.0,26.8,33.9,25.0,28.5,24.5,87.5,3.53,100,20.83,rain,0,0,27.7,16.3,276.7,1010.0,70.2,6.1,171.9,14.9,6,,2020-01-05T05:44:28,2020-01-05T18:13:09,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-06,30.2,24.6,26.9,36.6,24.6,29.1,24.7,87.8,13.44,100,25.0,rain,0,0,,21.5,254.8,1010.1,62.8,5.2,212.5,18.3,7,,2020-01-06T05:44:58,2020-01-06T18:13:32,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-07,30.4,24.7,27.2,36.1,24.7,29.8,24.3,84.8,8.26,100,25.0,rain,0,0,,18.4,264.6,1009.6,61.7,6.3,158.8,13.7,6,,2020-01-07T05:45:29,2020-01-07T18:13:54,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-08,29.5,24.8,27.2,34.9,24.8,29.9,24.1,83.2,5.34,100,16.67,rain,0,0,,24.1,253.2,1009.0,59.5,5.7,238.9,20.7,9,,2020-01-08T05:45:59,2020-01-08T18:14:16,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-09,29.0,25.0,26.9,33.9,25.0,29.1,24.3,86.0,8.41,100,29.17,rain,0,0,40.7,25.9,273.1,1008.9,71.9,5.6,255.0,22.0,8,,2020-01-09T05:46:28,2020-01-09T18:14:37,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-10,27.4,23.5,25.3,31.0,23.5,25.8,23.5,90.1,17.95,100,33.33,rain,0,0,,27.7,278.7,1010.0,77.6,5.4,185.4,15.9,6,,2020-01-10T05:46:58,2020-01-10T18:14:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-11,31.0,23.8,26.6,34.6,23.8,28.6,23.4,83.3,1.27,100,16.67,rain,0,0,,31.7,274.5,1010.2,65.7,6.9,182.5,15.7,6,,2020-01-11T05:47:27,2020-01-11T18:15:16,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-12,32.0,24.4,27.9,37.9,24.4,30.7,23.5,77.4,0.04,100,4.17,rain,0,0,42.5,18.4,276.0,1009.2,53.8,8.1,311.7,26.9,10,,2020-01-12T05:47:56,2020-01-12T18:15:35,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-13,30.4,24.7,27.2,37.3,24.7,29.5,24.0,83.3,9.21,100,20.83,rain,0,0,,18.0,275.4,1009.0,66.6,7.1,309.8,26.8,10,,2020-01-13T05:48:24,2020-01-13T18:15:53,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.3767011752795,106.554987458122",2020-01-14,31.7,25.0,27.9,37.3,25.0,30.6,23.8,79.7,7.57,100,4.17,rain,0,0,,20.8,270.7,1009.7,53.0,7.5,211.7,18.4,7,,2020-01-14T05:48:52,2020-01-14T18:16:10,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96749599999,96745099999"
"-6.3767011752795,106.554987458122",2020-01-15,30.6,24.4,27.3,36.4,24.4,29.8,24.0,83.2,20.03,100,20.83,rain,0,0,,16.6,232.5,1010.5,61.5,6.3,208.7,18.1,7,,2020-01-15T05:49:20,2020-01-15T18:16:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
