name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.52149202157874,106.712540502653",2019-12-29,30.0,23.6,27.0,35.9,23.6,29.9,24.5,86.7,5.0,100,8.33,rain,0,0,,14.8,228.4,1010.7,54.1,6.1,231.2,20.1,8,,2019-12-29T05:39:59,2019-12-29T18:09:48,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2019-12-30,32.3,23.9,28.5,39.6,23.9,32.7,24.6,80.0,13.67,100,4.17,rain,0,0,,14.3,216.3,1010.9,49.0,6.1,245.5,21.1,9,,2019-12-30T05:40:30,2019-12-30T18:10:15,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2019-12-31,30.6,23.8,27.2,37.7,23.8,30.5,24.6,85.9,20.43,100,20.83,rain,0,0,29.5,22.3,247.1,1011.2,58.7,5.8,154.7,13.5,6,,2019-12-31T05:41:01,2019-12-31T18:10:42,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-01,29.0,24.0,26.2,38.2,24.0,28.1,24.5,90.6,121.64,100,29.17,rain,0,0,,27.7,282.5,1012.5,65.3,4.7,112.0,9.5,4,,2020-01-01T05:41:32,2020-01-01T18:11:08,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-02,31.0,23.6,26.8,36.1,23.6,28.9,23.7,83.9,16.54,100,25.0,rain,0,0,,15.0,272.3,1012.8,62.2,5.9,186.9,16.0,7,,2020-01-02T05:42:03,2020-01-02T18:11:33,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-03,30.6,24.3,27.3,36.7,24.3,30.3,24.1,82.8,3.58,100,16.67,rain,0,0,,14.8,278.0,1010.9,58.3,6.7,167.4,14.5,6,,2020-01-03T05:42:34,2020-01-03T18:11:58,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-04,30.6,24.5,27.4,36.7,24.5,30.2,24.0,82.4,1.72,100,16.67,rain,0,0,,19.8,286.9,1009.3,59.4,6.3,202.0,17.7,7,,2020-01-04T05:43:05,2020-01-04T18:12:22,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-05,29.0,24.5,26.4,34.2,24.5,27.7,24.2,87.8,10.25,100,25.0,rain,0,0,27.7,15.0,277.4,1009.5,67.4,5.8,159.5,13.7,5,,2020-01-05T05:43:35,2020-01-05T18:12:46,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-06,29.7,23.8,26.5,35.8,23.8,28.1,24.3,88.3,15.41,100,25.0,rain,0,0,,18.7,255.9,1009.7,59.0,5.0,212.9,18.2,7,,2020-01-06T05:44:06,2020-01-06T18:13:09,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-07,30.6,23.9,26.8,36.7,23.9,29.2,24.1,85.7,8.48,100,25.0,rain,0,0,,19.5,263.5,1009.2,59.5,5.6,195.5,16.8,7,,2020-01-07T05:44:36,2020-01-07T18:13:31,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-08,29.6,24.0,26.9,34.6,24.0,29.0,23.8,83.3,5.1,100,12.5,rain,0,0,,24.1,256.0,1008.6,59.1,5.4,239.0,20.6,8,,2020-01-08T05:45:06,2020-01-08T18:13:53,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-09,29.0,24.5,26.4,34.2,24.5,28.2,24.0,87.0,33.26,100,33.33,rain,0,0,40.7,25.9,271.6,1008.4,66.8,5.1,214.0,18.7,8,,2020-01-09T05:45:36,2020-01-09T18:14:13,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-10,27.6,22.7,24.9,31.4,22.7,25.3,23.2,90.6,21.09,100,33.33,rain,0,0,,27.7,279.4,1009.4,73.2,5.2,235.4,20.4,8,,2020-01-10T05:46:06,2020-01-10T18:14:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-11,31.0,22.8,26.2,35.2,22.8,27.9,23.1,83.7,2.51,100,16.67,rain,0,0,,31.7,273.5,1009.6,64.2,6.4,199.7,17.2,8,,2020-01-11T05:46:35,2020-01-11T18:14:53,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.52149202157874,106.712540502653",2020-01-12,32.0,23.7,27.5,37.9,23.7,30.0,23.1,77.3,0.0,0,0.0,,0,0,42.5,18.4,274.1,1008.6,51.8,7.8,314.5,27.3,10,,2020-01-12T05:47:04,2020-01-12T18:15:11,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
