name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.4595293269097,106.631128517247",2019-12-29,30,24.2,27.3,36.1,24.2,30.4,24.8,86.8,4.77,100,8.33,rain,0,0,,14.8,226,1011,54.3,6.2,231.2,20.1,8,,2019-12-29T05:40:25,2019-12-29T18:10:01,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2019-12-30,32.1,24.5,28.7,39.3,24.5,33.3,24.8,80,5.32,100,4.17,rain,0,0,,15.4,215.5,1011.1,49.2,6.1,245.5,21.1,9,,2019-12-30T05:40:56,2019-12-30T18:10:28,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2019-12-31,30.5,24.5,27.5,37.6,24.5,30.9,24.8,85.6,11.83,100,20.83,rain,0,0,29.5,22.3,245.3,1011.4,59.1,6,154.7,13.5,6,,2019-12-31T05:41:27,2019-12-31T18:10:55,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-01,29,24.8,26.6,38.2,24.8,28.6,24.8,90.1,111.3,100,29.17,rain,0,0,,27.7,283.3,1012.7,68.1,4.9,112,9.5,4,,2020-01-01T05:41:58,2020-01-01T18:11:21,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-02,31,24.2,27.1,36,24.2,29.3,23.8,83.4,14.94,100,25,rain,0,0,,16.1,271.9,1013.1,61.7,6,186.9,16,7,,2020-01-02T05:42:29,2020-01-02T18:11:46,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-03,30.5,25.1,27.6,36.5,25.1,30.7,24.3,82.5,3.89,100,16.67,rain,0,0,,14.8,278.2,1011.2,58.1,6.9,167.4,14.5,6,,2020-01-03T05:43:00,2020-01-03T18:12:11,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-04,30.5,25,27.7,36.5,25,30.8,24.2,81.7,0.75,100,16.67,rain,0,0,,20.2,286.7,1009.5,61.4,6.6,202,17.7,7,,2020-01-04T05:43:31,2020-01-04T18:12:35,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-05,29,25,26.7,34.1,25,28.2,24.4,87.5,8.58,100,25,rain,0,0,27.7,15.5,277.1,1009.8,68.1,5.9,159.5,13.7,5,,2020-01-05T05:44:01,2020-01-05T18:12:59,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-06,30,24.4,26.8,36.1,24.4,28.8,24.5,87.9,13.68,100,25,rain,0,0,,19.3,255.6,1009.9,60.4,5.1,212.9,18.2,7,,2020-01-06T05:44:32,2020-01-06T18:13:22,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.4595293269097,106.631128517247",2020-01-07,30.5,24.5,27,36.5,24.5,29.6,24.2,85.2,8.56,100,25,rain,0,0,,18.7,264,1009.4,60,5.9,195.5,16.8,7,,2020-01-07T05:45:02,2020-01-07T18:13:44,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
