name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.631376127,106.4705097",2019-12-29,30,23.6,27.1,36.2,23.6,30,24.6,87.1,7.86,100,12.5,rain,0,0,,14.8,225.3,1010.7,56.3,6.2,200.5,17.2,7,,2019-12-29T05:40:45,2019-12-29T18:10:58,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2019-12-30,32,23.9,28.5,39.2,23.9,32.8,24.6,80.4,9.93,100,12.5,rain,0,0,,16,215.2,1010.8,50.4,6.2,266.4,23.1,9,,2019-12-30T05:41:16,2019-12-30T18:11:25,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2019-12-31,30.5,24.2,27.3,37.6,24.2,30.7,24.6,85.7,15.27,100,20.83,rain,0,0,29.5,22.3,245.9,1011.1,61.4,5.9,187.9,16.2,7,,2019-12-31T05:41:47,2019-12-31T18:11:51,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-01,29,24.1,26.4,38.2,24.1,28.4,24.6,89.9,109.35,100,29.17,rain,0,0,,27.7,283.9,1012.4,68.6,4.8,105.3,9,4,,2020-01-01T05:42:18,2020-01-01T18:12:17,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-02,31,23.7,26.9,36,23.7,29.1,23.7,83.5,15.95,100,25,rain,0,0,,15.7,271,1012.7,63.1,6,187.2,16.1,7,,2020-01-02T05:42:50,2020-01-02T18:12:43,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-03,30.5,24.6,27.4,36.4,24.6,30.4,24.1,82.6,5.04,100,20.83,rain,0,0,,14.8,277.7,1010.9,60.1,6.9,170.4,14.7,6,,2020-01-03T05:43:21,2020-01-03T18:13:08,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-04,30.5,24.6,27.5,36.4,24.6,30.3,24.1,81.9,1.34,100,16.67,rain,0,0,,20.4,286.7,1009.2,62.1,6.5,167.3,14.2,6,,2020-01-04T05:43:51,2020-01-04T18:13:32,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-05,29,24.7,26.5,34,24.7,27.9,24.2,87.6,9.77,100,25,rain,0,0,,15.7,276.7,1009.5,70.5,5.9,171.9,14.9,6,,2020-01-05T05:44:22,2020-01-05T18:13:55,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-06,30,24,26.6,36.2,24,28.4,24.4,87.7,15.09,100,25,rain,0,0,,19.6,256,1009.7,61.8,5,212.5,18.3,7,,2020-01-06T05:44:53,2020-01-06T18:14:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-07,30.5,24.1,26.9,36.4,24.1,29.4,24.1,85.5,8.5,100,33.33,rain,0,0,,18.4,262.8,1009.1,61.7,5.9,158.8,13.7,6,,2020-01-07T05:45:23,2020-01-07T18:14:40,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-08,29.5,24.3,27,34.3,24.3,29.2,23.8,83.3,5.76,100,16.67,rain,0,0,,24.1,253.7,1008.5,60.3,5.5,238.9,20.7,9,,2020-01-08T05:45:53,2020-01-08T18:15:02,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-09,29,24.6,26.6,34,24.6,28.5,24.1,86.4,27.19,100,33.33,rain,0,0,40.7,25.9,271.9,1008.3,69.8,5.3,255,22,8,,2020-01-09T05:46:23,2020-01-09T18:15:23,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-10,27.5,22.9,25,31,22.9,25.4,23.3,90.2,25.66,100,33.33,rain,0,0,,27.7,277.2,1009.4,76.8,5.3,185.4,15.9,6,,2020-01-10T05:46:53,2020-01-10T18:15:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-11,31,23.1,26.3,34.8,23.1,28,23.2,83.5,2.92,100,20.83,rain,0,0,,31.7,273,1009.6,65.7,6.5,182.5,15.7,6,,2020-01-11T05:47:22,2020-01-11T18:16:02,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.631376127,106.4705097",2020-01-12,32,23.9,27.6,37.9,23.9,30.3,23.2,77.2,0.22,100,4.17,rain,0,0,42.5,18.4,274,1008.6,53.7,7.9,311.7,26.9,10,,2020-01-12T05:47:51,2020-01-12T18:16:20,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
