name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.59335750722342,107.01991757245",2019-12-29,30.0,20.9,26.1,35.7,20.9,28.6,23.8,87.6,1.97,100,8.33,rain,0,0,,14.8,196.7,1010.1,55.0,6.0,231.2,20.1,8,,2019-12-29T05:38:37,2019-12-29T18:08:42,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2019-12-30,32.5,20.9,27.6,39.9,20.9,31.3,23.9,81.1,38.98,100,4.17,rain,0,0,,13.9,218.6,1010.6,50.2,6.0,245.5,21.1,9,,2019-12-30T05:39:08,2019-12-30T18:09:09,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2019-12-31,30.7,20.7,26.2,37.7,20.7,29.0,23.9,87.7,41.59,100,20.83,rain,0,0,29.5,22.3,233.8,1010.7,60.6,5.4,154.7,13.5,6,,2019-12-31T05:39:39,2019-12-31T18:09:36,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-01,29.0,21.0,25.0,38.2,21.0,26.9,23.6,92.3,130.19,100,29.17,rain,0,0,,27.7,280.7,1012.0,58.2,4.2,112.0,9.5,4,,2020-01-01T05:40:11,2020-01-01T18:10:01,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-02,31.0,21.1,25.7,36.3,21.1,27.4,23.0,86.2,12.57,100,25.0,rain,0,0,,14.3,273.3,1012.3,63.7,5.6,186.9,16.0,7,,2020-01-02T05:40:42,2020-01-02T18:10:27,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-03,30.7,20.9,26.3,37.0,20.9,28.7,23.4,84.5,1.72,100,16.67,rain,0,0,,14.8,277.8,1010.6,60.4,6.4,167.4,14.5,6,,2020-01-03T05:41:13,2020-01-03T18:10:52,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-04,30.7,21.7,26.2,37.0,21.7,28.5,23.4,84.7,4.46,100,16.67,rain,0,0,,19.4,287.8,1008.9,56.3,5.8,202.0,17.7,7,,2020-01-04T05:41:43,2020-01-04T18:11:16,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-05,29.0,21.3,25.4,34.3,21.3,26.8,23.4,89.0,5.16,100,25.0,rain,0,0,,14.3,275.1,1009.0,67.5,5.6,159.5,13.7,5,,2020-01-05T05:42:14,2020-01-05T18:11:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-06,29.5,21.3,25.4,35.4,21.3,26.9,23.6,89.8,21.97,100,25.0,rain,0,0,,18.0,262.1,1009.3,55.8,4.6,212.9,18.2,7,,2020-01-06T05:42:45,2020-01-06T18:12:02,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-07,30.7,21.1,25.7,37.0,21.1,27.9,23.4,87.7,7.38,100,25.0,rain,0,0,,20.4,268.6,1008.8,59.2,5.2,195.5,16.8,7,,2020-01-07T05:43:15,2020-01-07T18:12:25,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-08,29.7,21.4,25.8,34.7,21.4,27.8,23.1,85.5,9.04,100,16.67,rain,0,0,,24.1,253.7,1008.3,59.8,4.9,239.0,20.6,8,,2020-01-08T05:43:45,2020-01-08T18:12:46,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-09,29.0,21.2,25.2,34.3,21.2,26.9,23.3,89.5,53.53,100,33.33,rain,0,0,40.7,25.9,268.8,1008.0,62.5,4.4,214.0,18.7,8,,2020-01-09T05:44:15,2020-01-09T18:13:07,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-10,27.7,20.3,24.1,31.8,20.3,24.5,22.5,91.2,8.43,100,33.33,rain,0,0,,27.7,280.4,1008.8,72.7,5.3,235.4,20.4,8,,2020-01-10T05:44:45,2020-01-10T18:13:27,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-11,31.0,20.3,25.3,35.5,20.3,26.7,22.3,84.2,1.02,100,16.67,rain,0,0,,31.7,275.0,1008.9,64.8,6.2,199.7,17.2,8,,2020-01-11T05:45:14,2020-01-11T18:13:46,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-12,32.0,20.9,26.6,37.9,20.9,28.6,22.3,77.8,0.0,0,0.0,,0,0,42.5,18.4,262.8,1008.2,53.4,7.7,314.5,27.3,10,,2020-01-12T05:45:43,2020-01-12T18:14:05,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-13,30.7,20.9,26.1,38.3,20.9,28.4,23.0,83.1,2.74,100,20.83,rain,0,0,,19.5,273.3,1007.8,63.0,6.4,309.7,26.5,10,,2020-01-13T05:46:12,2020-01-13T18:14:22,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-14,31.7,20.7,26.7,37.1,20.7,28.9,23.0,80.8,0.98,100,12.5,rain,0,0,,24.9,270.6,1008.9,56.9,7.2,222.3,19.0,7,,2020-01-14T05:46:40,2020-01-14T18:14:39,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96781099999,96749099999,96751099999,96749599999,96745099999"
"-6.59335750722342,107.01991757245",2020-01-15,30.7,21.4,26.0,36.7,21.4,27.7,23.1,85.1,14.6,100,20.83,rain,0,0,,17.4,275.9,1009.8,59.4,5.7,132.0,11.4,5,,2020-01-15T05:47:08,2020-01-15T18:14:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-16,31.7,21.2,26.3,38.5,21.2,28.3,23.3,84.1,0.37,100,8.33,rain,0,0,,25.5,211.0,1010.2,53.0,5.2,278.3,24.0,10,,2020-01-16T05:47:35,2020-01-16T18:15:10,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-17,31.7,21.6,26.9,38.5,21.6,29.8,23.4,81.5,1.12,100,8.33,rain,0,0,,18.4,214.0,1010.3,54.4,5.8,297.5,25.9,10,,2020-01-17T05:48:02,2020-01-17T18:15:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-18,30.3,21.4,25.7,35.2,21.4,26.9,22.9,85.7,5.75,100,16.67,rain,0,0,,14.8,254.0,1010.4,61.1,5.0,206.8,18.0,7,,2020-01-18T05:48:29,2020-01-18T18:15:38,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-19,31.7,21.3,26.8,38.5,21.3,29.4,23.2,81.5,6.16,100,8.33,rain,0,0,,21.9,222.0,1010.5,50.7,5.4,279.2,24.1,10,,2020-01-19T05:48:54,2020-01-19T18:15:50,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-20,31.0,22.1,27.0,38.4,22.1,30.0,23.8,83.2,7.9,100,29.17,rain,0,0,,14.8,219.2,1011.0,60.9,5.9,194.4,16.8,6,,2020-01-20T05:49:20,2020-01-20T18:16:02,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-21,30.0,21.5,26.0,36.2,21.5,28.2,23.6,87.0,0.3,100,8.33,rain,0,0,,16.6,181.4,1012.0,57.7,5.9,246.7,21.2,9,,2020-01-21T05:49:45,2020-01-21T18:16:12,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-22,31.5,21.4,26.7,39.5,21.4,29.6,23.6,83.6,1.18,100,16.67,rain,0,0,,11.6,216.4,1011.5,56.5,5.5,237.6,20.7,9,,2020-01-22T05:50:09,2020-01-22T18:16:22,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-23,32.0,21.8,26.8,37.9,21.8,30.0,24.0,84.8,43.81,100,25.0,rain,0,0,,18.4,224.2,1010.2,57.5,5.7,267.9,23.2,9,,2020-01-23T05:50:33,2020-01-23T18:16:31,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-24,27.0,21.0,25.0,30.6,21.0,25.5,23.8,93.4,28.38,100,33.33,rain,0,0,31.7,13.0,217.0,1010.1,61.7,4.6,231.0,19.9,8,,2020-01-24T05:50:56,2020-01-24T18:16:39,1.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-25,28.7,21.3,25.0,34.6,21.3,26.3,23.8,92.8,25.41,100,33.33,rain,0,0,,16.6,253.6,1010.2,66.8,4.7,177.1,15.2,7,,2020-01-25T05:51:18,2020-01-25T18:16:45,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-26,31.7,20.5,26.3,38.5,20.5,28.4,23.4,84.8,5.0,100,16.67,rain,0,0,,20.4,167.6,1009.2,51.0,5.9,271.7,23.6,10,,2020-01-26T05:51:40,2020-01-26T18:16:51,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-27,30.7,21.2,26.2,36.7,21.2,28.2,23.2,84.2,19.17,100,20.83,rain,0,0,,12.1,148.1,1009.4,59.0,6.4,231.7,20.0,8,,2020-01-27T05:52:01,2020-01-27T18:16:56,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-28,31.7,21.2,26.7,37.6,21.2,29.4,23.5,83.2,0.22,100,4.17,rain,0,0,,20.5,201.5,1009.8,49.2,6.2,246.4,21.2,8,,2020-01-28T05:52:22,2020-01-28T18:17:00,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-29,32.5,21.7,27.3,40.7,21.7,30.3,23.8,81.9,7.44,100,16.67,rain,0,0,,23.2,240.1,1010.3,51.0,5.9,192.6,16.8,7,,2020-01-29T05:52:42,2020-01-29T18:17:03,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-30,30.7,20.1,25.9,36.2,20.1,27.7,22.5,82.4,28.08,100,12.5,rain,0,0,,27.7,238.9,1010.2,59.7,6.6,131.2,11.4,5,,2020-01-30T05:53:01,2020-01-30T18:17:05,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-01-31,29.7,21.6,26.2,36.4,21.6,28.8,23.6,85.9,10.15,100,12.5,rain,0,0,,11.7,241.9,1009.9,58.5,5.4,258.4,22.3,9,,2020-01-31T05:53:19,2020-01-31T18:17:06,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-01,29.0,20.8,24.7,33.6,20.8,25.8,23.2,92.0,41.67,100,29.17,rain,0,0,,17.4,155.6,1009.8,68.2,5.0,149.9,13.1,5,,2020-02-01T05:53:37,2020-02-01T18:17:07,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-02,29.0,20.7,24.8,35.0,20.7,26.0,23.0,90.0,17.23,100,25.0,rain,0,0,,11.9,171.9,1011.2,61.8,5.4,235.2,20.2,8,,2020-02-02T05:53:54,2020-02-02T18:17:06,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-03,28.2,20.2,25.0,33.6,20.2,25.7,23.4,91.1,19.77,100,25.0,rain,0,0,,16.6,192.8,1011.6,62.0,5.5,191.7,16.5,7,,2020-02-03T05:54:11,2020-02-03T18:17:04,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-04,29.0,20.9,25.0,35.0,20.9,26.3,23.2,90.3,8.63,100,20.83,rain,0,0,,19.9,192.4,1010.5,66.0,5.5,232.1,20.0,8,,2020-02-04T05:54:27,2020-02-04T18:17:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-05,30.7,21.5,25.9,38.0,21.5,27.7,23.9,89.0,31.14,100,20.83,rain,0,0,,17.6,275.5,1009.6,55.1,4.8,135.2,11.6,5,,2020-02-05T05:54:42,2020-02-05T18:16:58,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-06,28.0,21.1,24.8,33.1,21.1,25.6,23.6,92.9,7.07,100,29.17,rain,0,0,27.7,10.9,263.2,1009.8,69.2,4.6,189.1,16.3,6,,2020-02-06T05:54:56,2020-02-06T18:16:53,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-07,30.2,21.0,25.2,36.3,21.0,26.6,23.7,91.6,70.96,100,16.67,rain,0,0,,17.0,220.9,1010.3,59.2,4.8,237.0,20.5,9,,2020-02-07T05:55:10,2020-02-07T18:16:48,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-08,30.5,20.9,25.5,35.2,20.9,26.8,22.8,86.2,41.62,100,16.67,rain,0,0,,21.9,228.6,1011.5,58.7,5.3,104.6,9.1,4,,2020-02-08T05:55:23,2020-02-08T18:16:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-09,30.0,20.4,25.0,34.3,20.4,25.8,22.3,85.7,4.24,100,25.0,rain,0,0,,15.2,258.4,1011.2,61.3,6.0,185.4,15.9,7,,2020-02-09T05:55:35,2020-02-09T18:16:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-10,33.7,22.8,27.5,39.0,22.8,29.7,22.6,75.5,0.0,0,0.0,,0,0,,20.5,235.8,1010.2,52.5,7.2,187.4,16.3,6,,2020-02-10T05:55:46,2020-02-10T18:16:26,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-11,34.0,21.6,27.3,39.4,21.6,29.8,22.5,75.9,0.17,100,4.17,rain,0,0,35.3,20.3,245.4,1010.9,55.5,6.6,185.6,15.8,6,,2020-02-11T05:55:57,2020-02-11T18:16:17,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-12,32.5,21.4,27.1,38.9,21.4,29.6,23.0,78.8,12.76,100,12.5,rain,0,0,,20.5,159.0,1011.2,56.1,6.3,220.0,19.1,8,,2020-02-12T05:56:07,2020-02-12T18:16:07,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-13,31.5,21.8,26.7,38.5,21.8,29.6,23.5,83.2,8.28,100,16.67,rain,0,0,,21.3,169.7,1010.4,56.3,6.0,115.0,10.0,4,,2020-02-13T05:56:17,2020-02-13T18:15:57,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-14,29.8,21.1,25.7,36.5,21.1,27.8,23.7,88.9,2.94,100,12.5,rain,0,0,,8.3,251.7,1010.0,54.9,5.0,223.2,19.3,8,,2020-02-14T05:56:25,2020-02-14T18:15:45,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-15,32.7,20.9,26.1,41.3,20.9,28.2,23.3,85.2,7.43,100,16.67,rain,0,0,,15.4,248.1,1010.9,54.4,5.3,138.0,12.1,5,,2020-02-15T05:56:33,2020-02-15T18:15:33,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-16,30.7,20.6,24.8,37.5,20.6,25.5,22.9,89.2,24.17,100,16.67,rain,0,0,,16.6,252.1,1011.4,61.0,5.1,190.1,16.4,6,,2020-02-16T05:56:41,2020-02-16T18:15:19,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-17,30.0,20.6,25.4,35.1,20.6,26.4,22.6,84.9,4.39,100,8.33,rain,0,0,35.3,20.8,235.1,1011.1,63.6,6.2,134.2,11.5,5,,2020-02-17T05:56:48,2020-02-17T18:15:05,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-18,30.7,20.6,25.5,36.2,20.6,26.8,22.7,85.1,26.64,100,20.83,rain,0,0,,22.3,282.6,1011.0,64.6,5.5,226.6,19.6,8,,2020-02-18T05:56:54,2020-02-18T18:14:51,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.59335750722342,107.01991757245",2020-02-19,30.0,20.5,25.1,36.2,20.5,26.7,23.0,88.6,7.28,100,25.0,rain,0,0,,24.1,288.4,1010.4,57.0,5.6,186.5,16.0,7,,2020-02-19T05:56:59,2020-02-19T18:14:35,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
