name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.579801558, 106.8406803",2019-12-29,30,21.6,26.3,35.7,21.6,28.9,24,87.3,2.67,100,8.33,rain,0,0,,14.8,196.8,1010.3,54.4,6,231.2,20.1,8,,2019-12-29T05:39:22,2019-12-29T18:09:24,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2019-12-30,32.4,21.8,27.8,39.8,21.8,31.7,24.1,80.8,33.56,100,4.17,rain,0,0,,14,217.6,1010.6,49.6,6.1,245.5,21.1,9,,2019-12-30T05:39:53,2019-12-30T18:09:51,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2019-12-31,30.7,21.7,26.5,37.7,21.7,29.3,24.1,87.2,37.23,100,20.83,rain,0,0,29.5,22.3,233.2,1010.7,59.8,5.5,154.7,13.5,6,,2019-12-31T05:40:24,2019-12-31T18:10:17,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-01,29,21.8,25.3,38.2,21.8,27.2,23.8,92,128.76,100,29.17,rain,0,0,,27.7,281.7,1012,59.7,4.3,112,9.5,4,,2020-01-01T05:40:55,2020-01-01T18:10:43,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-02,31,21.7,25.9,36.2,21.7,27.7,23.2,85.6,13.71,100,25,rain,0,0,,14.5,273.3,1012.4,63,5.6,186.9,16,7,,2020-01-02T05:41:26,2020-01-02T18:11:09,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-03,30.7,21.8,26.6,37,21.8,29,23.6,84,2.12,100,16.67,rain,0,0,,14.8,277,1010.6,59.6,6.4,167.4,14.5,6,,2020-01-03T05:41:57,2020-01-03T18:11:33,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-04,30.7,22.5,26.5,37,22.5,28.8,23.6,84.2,3.87,100,16.67,rain,0,0,,19.5,287.5,1009,56.6,5.9,202,17.7,7,,2020-01-04T05:42:28,2020-01-04T18:11:58,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-05,29,22.3,25.6,34.2,22.3,27.1,23.6,88.7,6.33,100,25,rain,0,0,,14.5,275.9,1009.1,67.2,5.6,159.5,13.7,5,,2020-01-05T05:42:59,2020-01-05T18:12:21,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-06,29.6,21.9,25.7,35.5,21.9,27.2,23.8,89.5,20.54,100,25,rain,0,0,,18.2,261.3,1009.4,56.4,4.7,212.9,18.2,7,,2020-01-06T05:43:29,2020-01-06T18:12:44,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.579801558, 106.8406803",2020-01-07,30.7,21.9,26,37,21.9,28.1,23.6,87.2,7.62,100,25,rain,0,0,,20.1,266.5,1008.8,59,5.3,195.5,16.8,7,,2020-01-07T05:44:00,2020-01-07T18:13:06,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
