name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.46854382410055,106.758875329444",2019-12-29,30.0,24.0,27.1,35.8,24.0,30.0,24.6,86.5,5.77,100,8.33,rain,0,0,,14.8,199.7,1010.7,53.8,6.0,231.2,20.1,8,,2019-12-29T05:39:53,2019-12-29T18:09:32,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2019-12-30,32.4,24.3,28.6,39.8,24.3,32.9,24.6,79.8,11.19,100,4.17,rain,0,0,,14.1,216.4,1010.9,48.6,6.0,245.5,21.1,9,,2019-12-30T05:40:24,2019-12-30T18:09:59,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2019-12-31,30.7,24.1,27.3,37.7,24.1,30.6,24.7,85.7,19.05,100,20.83,rain,0,0,29.5,22.3,247.9,1011.2,58.0,5.7,154.7,13.5,6,,2019-12-31T05:40:55,2019-12-31T18:10:25,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-01,29.0,24.3,26.3,38.2,24.3,28.2,24.6,90.6,121.21,100,29.17,rain,0,0,,27.7,281.1,1012.5,65.6,4.7,112.0,9.5,4,,2020-01-01T05:41:26,2020-01-01T18:10:51,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-02,31.0,23.8,26.9,36.2,23.8,29.1,23.7,83.7,18.21,100,25.0,rain,0,0,,14.6,272.2,1012.8,62.1,5.8,186.9,16.0,7,,2020-01-02T05:41:57,2020-01-02T18:11:17,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-03,30.7,24.6,27.4,36.9,24.6,30.5,24.2,82.7,3.79,100,16.67,rain,0,0,,14.8,277.8,1010.9,58.2,6.6,167.4,14.5,6,,2020-01-03T05:42:28,2020-01-03T18:11:41,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-04,30.7,24.9,27.5,36.9,24.9,30.4,24.1,82.3,1.48,100,16.67,rain,0,0,,19.6,286.3,1009.3,59.1,6.3,202.0,17.7,7,,2020-01-04T05:42:59,2020-01-04T18:12:06,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-05,29.0,24.8,26.5,34.2,24.8,28.0,24.3,87.8,11.89,100,25.0,rain,0,0,27.7,14.6,277.4,1009.5,66.9,5.7,159.5,13.7,5,,2020-01-05T05:43:30,2020-01-05T18:12:29,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-06,29.6,24.0,26.6,35.6,24.0,28.4,24.4,88.2,14.65,100,25.0,rain,0,0,,18.3,256.4,1009.8,59.1,4.9,212.9,18.2,7,,2020-01-06T05:44:00,2020-01-06T18:12:52,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-07,30.7,24.2,26.9,36.9,24.2,29.4,24.2,85.6,8.65,100,25.0,rain,0,0,,20.0,263.2,1009.2,59.3,5.6,195.5,16.8,7,,2020-01-07T05:44:30,2020-01-07T18:13:15,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-08,29.7,24.3,27.0,34.7,24.3,29.4,23.8,83.1,4.46,100,12.5,rain,0,0,,24.1,255.4,1008.6,59.3,5.4,239.0,20.6,8,,2020-01-08T05:45:01,2020-01-08T18:13:36,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-09,29.0,24.7,26.5,34.2,24.7,28.4,24.2,87.0,33.27,100,33.33,rain,0,0,40.7,25.9,271.0,1008.4,67.0,5.1,214.0,18.7,8,,2020-01-09T05:45:30,2020-01-09T18:13:57,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-10,27.7,23.0,25.0,31.7,23.0,25.4,23.3,90.7,23.47,100,33.33,rain,0,0,,27.7,278.8,1009.5,72.3,5.2,235.4,20.4,8,,2020-01-10T05:46:00,2020-01-10T18:14:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.46854382410055,106.758875329444",2020-01-11,31.0,23.1,26.3,35.4,23.1,28.1,23.2,83.8,2.85,100,16.67,rain,0,0,,31.7,273.7,1009.6,64.0,6.3,199.7,17.2,8,,2020-01-11T05:46:29,2020-01-11T18:14:37,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
