name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.65669468, 106.7456067",2019-12-29,30,21.7,26.4,35.9,21.7,29,24,87.4,2.88,100,8.33,rain,0,0,,14.8,228.5,1010.3,55.1,6.2,231.2,20.1,8,,2019-12-29T05:39:37,2019-12-29T18:09:55,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2019-12-30,32.3,22.1,27.8,39.6,22.1,31.8,24.1,80.8,30.75,100,4.17,rain,0,0,,14.3,216.6,1010.6,50.1,6.2,245.5,21.1,9,,2019-12-30T05:40:08,2019-12-30T18:10:22,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2019-12-31,30.6,22.1,26.5,37.7,22.1,29.3,24.1,87,34.65,100,20.83,rain,0,0,29.5,22.3,247.3,1010.8,60.6,5.6,154.7,13.5,6,,2019-12-31T05:40:39,2019-12-31T18:10:48,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-01,29,21.9,25.4,38.2,21.9,27.3,23.9,91.5,128.28,100,29.17,rain,0,0,,27.7,283.7,1012.1,60.8,4.4,112,9.5,4,,2020-01-01T05:41:10,2020-01-01T18:11:14,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-02,31,21.9,26,36.1,21.9,27.8,23.2,85.3,13.79,100,25,rain,0,0,,15,272.5,1012.5,63.5,5.8,186.9,16,7,,2020-01-02T05:41:41,2020-01-02T18:11:39,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-03,30.6,22.2,26.6,36.7,22.2,29,23.6,84,2.34,100,16.67,rain,0,0,,14.8,277.7,1010.7,59.8,6.6,167.4,14.5,6,,2020-01-03T05:42:12,2020-01-03T18:12:04,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-04,30.6,22.5,26.6,36.7,22.5,28.8,23.5,83.7,3.56,100,16.67,rain,0,0,,19.8,287.8,1009,58.1,6.1,202,17.7,7,,2020-01-04T05:42:43,2020-01-04T18:12:28,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-05,29,22.6,25.7,34.2,22.6,27,23.6,88.5,6.64,100,25,rain,0,0,27.7,15,277.6,1009.2,68.2,5.7,159.5,13.7,5,,2020-01-05T05:43:14,2020-01-05T18:12:52,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-06,29.7,22.1,25.8,35.8,22.1,27.3,23.8,89.1,19.83,100,25,rain,0,0,,18.7,255.5,1009.4,57.2,4.8,212.9,18.2,7,,2020-01-06T05:43:44,2020-01-06T18:13:15,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.65669468, 106.7456067",2020-01-07,30.6,22.2,26.1,36.7,22.2,28.2,23.6,87,7.74,100,25,rain,0,0,,19.5,263.5,1008.9,59.6,5.4,195.5,16.8,7,,2020-01-07T05:44:15,2020-01-07T18:13:37,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
