name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.611705881,107.1394025",2019-12-29,30,21.4,26.3,35.7,21.4,28.8,23.9,87.1,2.92,100,8.33,rain,0,0,,14.8,203.7,1010.7,55.2,6,231.2,20.1,8,,2019-12-29T05:38:07,2019-12-29T18:08:15,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2019-12-30,32.5,21.8,27.7,39.8,21.8,31.6,24,80.9,28.98,100,4.17,rain,0,0,,13.9,217.5,1011.2,50.6,6,245.5,21.1,9,,2019-12-30T05:38:38,2019-12-30T18:08:42,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2019-12-31,30.7,21.5,26.4,37.7,21.5,29.2,24,87.2,34.28,100,20.83,rain,0,0,29.5,22.3,232.4,1011.3,60.7,5.4,154.7,13.5,6,,2019-12-31T05:39:09,2019-12-31T18:09:09,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-01,29,21.4,25.2,38.2,21.4,27.1,23.7,91.8,118.22,100,29.17,rain,0,0,,27.7,281,1012.6,61.1,4.4,112,9.5,4,,2020-01-01T05:39:40,2020-01-01T18:09:35,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-02,31,21.5,25.8,36.2,21.5,27.6,23.1,85.6,12.89,100,25,rain,0,0,,14.4,271.1,1012.9,64,5.6,186.9,16,7,,2020-01-02T05:40:11,2020-01-02T18:10:00,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-03,30.7,21.8,26.5,37,21.8,28.9,23.5,83.8,2.06,100,16.67,rain,0,0,,14.8,280.8,1011.1,60.5,6.5,167.4,14.5,6,,2020-01-03T05:40:42,2020-01-03T18:10:25,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-04,30.7,22.3,26.5,37,22.3,28.8,23.4,83.8,3.37,100,16.67,rain,0,0,,19.4,286.9,1009.4,57.6,6,202,17.7,7,,2020-01-04T05:41:13,2020-01-04T18:10:49,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-05,29,22.2,25.6,34.3,22.2,27,23.5,88.5,7.19,100,25,rain,0,0,,14.4,279.1,1009.6,68.1,5.6,159.5,13.7,5,,2020-01-05T05:41:44,2020-01-05T18:11:13,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-06,29.5,21.8,25.6,35.5,21.8,27.1,23.7,89.2,18.25,100,25,rain,0,0,,18.1,259.8,1009.8,57.4,4.7,212.9,18.2,7,,2020-01-06T05:42:14,2020-01-06T18:11:36,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.611705881,107.1394025",2020-01-07,30.7,21.9,26,37,21.9,28.1,23.5,86.9,7.15,100,25,rain,0,0,,20.2,267.5,1009.4,60,5.4,195.5,16.8,7,,2020-01-07T05:42:45,2020-01-07T18:11:58,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
