name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.37286405652126,106.479489370438",2019-12-29,30.0,24.3,27.4,36.6,24.3,30.6,25.0,87.1,5.17,100,12.5,rain,0,0,,14.8,221.9,1011.2,55.1,6.3,200.5,17.2,7,,2019-12-29T05:41:10,2019-12-29T18:10:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2019-12-30,31.7,24.5,28.8,39.2,24.5,33.5,24.9,80.4,0.22,100,8.33,rain,0,0,,18.5,228.5,1011.1,49.8,6.3,266.4,23.1,9,,2019-12-30T05:41:41,2019-12-30T18:10:56,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2019-12-31,30.3,25.0,27.7,37.6,25.0,31.3,24.9,85.4,5.02,100,12.5,rain,0,0,29.5,22.3,243.8,1011.5,60.5,6.2,187.9,16.2,7,,2019-12-31T05:42:12,2019-12-31T18:11:22,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-01,29.0,25.0,26.9,38.2,25.0,29.7,24.9,89.4,92.28,100,25.0,rain,0,0,,27.7,287.0,1012.9,70.8,5.1,105.3,9.0,4,,2020-01-01T05:42:43,2020-01-01T18:11:48,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-02,31.0,24.4,27.2,35.8,24.4,29.6,23.9,83.0,11.81,100,20.83,rain,0,0,,18.3,271.8,1013.2,61.6,6.3,187.2,16.1,7,,2020-01-02T05:43:14,2020-01-02T18:12:14,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-03,30.9,25.6,27.7,36.9,25.6,31.0,24.3,82.3,4.39,100,16.67,rain,0,0,,15.3,278.7,1011.3,58.5,7.3,170.4,14.7,6,,2020-01-03T05:43:45,2020-01-03T18:12:39,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-04,31.3,25.1,27.9,37.6,25.1,31.1,24.2,81.1,0.12,100,12.5,rain,0,0,,21.0,287.8,1009.5,63.3,6.9,167.3,14.2,6,,2020-01-04T05:44:16,2020-01-04T18:13:03,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-05,29.0,25.0,26.8,33.9,25.0,28.6,24.5,87.3,5.23,100,20.83,rain,0,0,27.7,16.5,277.2,1009.9,69.8,6.1,171.9,14.9,6,,2020-01-05T05:44:46,2020-01-05T18:13:27,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-06,30.3,24.7,27.0,36.7,24.7,29.2,24.6,87.4,13.29,100,25.0,rain,0,0,,22.1,255.6,1010.0,62.1,5.2,212.5,18.3,7,,2020-01-06T05:45:17,2020-01-06T18:13:50,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-07,30.3,24.8,27.2,36.0,24.8,29.9,24.3,84.7,8.37,100,25.0,rain,0,0,,18.4,264.5,1009.6,61.1,6.2,158.8,13.7,6,,2020-01-07T05:45:47,2020-01-07T18:14:12,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-08,29.3,24.9,27.3,34.7,24.9,29.9,24.1,83.0,5.22,100,16.67,rain,0,0,,24.1,254.2,1008.9,58.9,5.8,238.9,20.7,9,,2020-01-08T05:46:17,2020-01-08T18:14:34,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"-6.37286405652126,106.479489370438",2020-01-09,29.0,25.0,27.0,33.9,25.0,29.3,24.3,85.7,10.53,100,29.17,rain,0,0,40.7,25.9,273.8,1008.8,71.4,5.6,255.0,22.0,8,,2020-01-09T05:46:47,2020-01-09T18:14:55,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
