name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.653594823, 106.7079849",2019-12-29,30,22.3,26.6,35.9,22.3,29.2,24.2,87.3,3.48,100,8.33,rain,0,0,,14.8,228.2,1010.4,54.8,6.2,231.2,20.1,8,,2019-12-29T05:39:46,2019-12-29T18:10:03,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2019-12-30,32.2,22.6,28,39.5,22.6,32,24.3,80.6,26.01,100,4.17,rain,0,0,,14.4,216.5,1010.7,49.8,6.2,245.5,21.1,9,,2019-12-30T05:40:17,2019-12-30T18:10:30,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2019-12-31,30.6,22.6,26.7,37.6,22.6,29.7,24.3,86.7,30.7,100,20.83,rain,0,0,29.5,22.3,247,1010.9,60.1,5.7,154.7,13.5,6,,2019-12-31T05:40:48,2019-12-31T18:10:57,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-01,29,22.5,25.7,38.2,22.5,27.5,24.1,91.2,127.09,100,29.17,rain,0,0,,27.7,283.7,1012.2,62.2,4.5,112,9.5,4,,2020-01-01T05:41:19,2020-01-01T18:11:23,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-02,31,22.4,26.2,36.1,22.4,28,23.3,84.9,14.5,100,25,rain,0,0,,15.1,272.4,1012.6,63.1,5.8,186.9,16,7,,2020-01-02T05:41:50,2020-01-02T18:11:48,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-03,30.6,22.8,26.8,36.7,22.8,29.3,23.7,83.6,2.7,100,16.67,rain,0,0,,14.8,278,1010.7,59.3,6.7,167.4,14.5,6,,2020-01-03T05:42:21,2020-01-03T18:12:13,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-04,30.6,23.1,26.8,36.7,23.1,29.2,23.7,83.2,3.05,100,16.67,rain,0,0,,19.9,287.7,1009.1,58.5,6.2,202,17.7,7,,2020-01-04T05:42:52,2020-01-04T18:12:37,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-05,29,23.1,25.9,34.2,23.1,27.2,23.8,88.3,7.72,100,25,rain,0,0,27.7,15.1,277.6,1009.3,68.1,5.8,159.5,13.7,5,,2020-01-05T05:43:23,2020-01-05T18:13:00,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-06,29.8,22.6,26,35.8,22.6,27.5,23.9,88.8,18.57,100,25,rain,0,0,,18.8,255.6,1009.5,57.7,4.9,212.9,18.2,7,,2020-01-06T05:43:53,2020-01-06T18:13:23,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.653594823, 106.7079849",2020-01-07,30.6,22.7,26.3,36.7,22.7,28.4,23.8,86.6,7.96,100,25,rain,0,0,,19.4,263.6,1009,59.6,5.5,195.5,16.8,7,,2020-01-07T05:44:24,2020-01-07T18:13:46,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
